Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,0,0,0,2,0,0,0,0,6,40,21,30,42,501,1,2
2,0,0,0,0,0,324,1,0,10,36,23,43,161,33,1,6
3,0,0,1,2,4,71,1,2,18,42,21,80,347,37,10,6
4,0,0,0,9,84,30,0,1,81,82,26,194,55,26,32,27
5,0,0,3,10,68,28,1,7,115,117,31,125,21,17,49,49
6,1,0,7,18,67,33,0,6,125,100,17,63,9,13,91,95
7,0,0,8,20,68,17,2,8,102,85,19,49,4,10,129,115
8,3,0,15,13,68,24,4,21,71,66,28,33,1,3,138,139
9,2,0,26,29,81,41,7,34,65,51,50,17,0,0,114,114
10,13,7,73,69,85,23,25,55,31,17,78,4,0,0,51,54
11,28,6,131,130,55,15,71,109,8,1,77,1,0,0,14,24
12,49,30,100,125,27,12,91,131,7,3,56,1,0,0,5,6
13,63,21,106,102,18,11,134,127,1,0,74,0,0,0,4,2
14,100,58,96,71,11,7,138,83,0,0,82,0,0,0,1,1
15,208,168,49,27,3,4,106,38,0,0,37,0,0,0,0,0
16,173,350,25,13,1,0,59,18,0,0,0,0,0,0,0,0
Integrated ranks,14.35,15.16,12.03,11.34,7.92,4.44,13.2,11.88,6.39,5.55,9.78,4.62,2.84,1.62,7.46,7.52
Rank,15,16,13,11,9,3,14,12,6,5,10,4,2,1,7,8
