Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,88.34,179.56,80.16,46.6,70.77,33.28,185.97,173.09,29.66,9.05,97.41,5.37,2.7,0.04,55.93,35.63
2,131.52,237.35,116.67,360.53,66.44,58.86,203.11,237.8,40.68,0,12.05,45,0,8.03,66.59,8.79
3,189.3,233.5,90.28,165.92,72.98,108.53,161.6,48.28,41.68,32.37,52.6,23.65,2.4,24.97,47.62,38.24
4,247.78,216.66,10.86,106.47,93.17,60.96,96.68,138.27,85.74,0.06,68.59,29.63,3.91,13.23,48.13,45.97
5,220.43,206.25,49.09,73.31,67.81,74.21,84.13,86.83,74.51,0.35,58.84,8.78,9.5,29.59,65.54,65.12
6,123.3,143.84,75.99,92.58,54.69,133.19,105.96,80.9,28.54,27.79,69.09,25.34,2.13,17.48,49.3,61.65
7,528.26,307.45,348.79,369.1,121.89,163.47,265.51,407.58,102.65,27.61,121.29,30.24,1.44,42.07,93.81,137.06
8,434.03,648.35,296.78,295.73,190.14,183.68,374.67,233.67,142.65,2.89,258.66,98.28,43.3,67.87,197.01,155.35
9,176.08,210.25,118.97,202.87,85.64,64.61,158.84,225.69,13.27,19.61,21.41,30.77,3.71,5.89,35.25,0.06
10,190.84,308.65,132.69,118.36,178.36,127.16,206.68,148.44,21.92,57.53,82.25,1.56,38.51,38.17,77.05,82.5
11,235.32,175.87,49.61,116.73,58.09,80.55,121.07,133.47,45.31,16.89,56.43,31.76,7.94,0.27,50.85,77.4
12,107.07,169.07,59.41,104.66,72.33,52.86,121.44,105.74,14.01,0.01,1.85,5.91,12.68,9.55,1.27,14.52
13,102.04,150.4,93.95,55.6,45.56,24.56,54.13,12.26,20.41,4.94,1.42,0.01,10.53,4.49,29.07,23
14,106.94,113.28,69.34,72.35,53.05,39.87,71.38,70.31,20.75,8.65,0.66,20.78,9.54,12.51,19.75,23.29
15,191.35,254.77,44.64,50.05,37.32,26.53,67.37,48.96,26.31,12.82,27.02,7.41,0.09,4.67,11.84,18.98
16,331.46,345.1,123.77,120.19,89.34,75.25,126.66,114.55,55.3,35.95,12.65,11.5,28.18,0.38,79.67,76.09
17,176.53,148.92,64.11,146.21,41.86,51.15,155.33,136.28,26.69,8.31,11.69,12.65,0.39,14.5,12.27,28.51
18,76.29,134.48,29.89,90.64,45.89,9.28,72.88,97.95,3.99,1.68,4.19,10.93,0,2.82,8.2,0.54
19,139.02,173.99,172.2,98.33,32.96,57.61,106.6,48.27,32.13,19.18,37.83,23.8,5.28,0.16,24.61,33.29
20,99.15,63.36,82.64,39.64,66.22,80.32,43.65,56.23,0.01,6.27,33.55,1.19,21.14,20.17,31.37,16.26
21,256.55,265.06,144.56,142.36,65.51,61.85,110.34,144.19,76.67,30.56,92.23,16.29,7.5,0,64.6,0.64
22,3085.19,2236.62,1030.8,684.81,798.27,665.12,1137.69,341.63,835.77,366.95,1103.94,18.14,236.62,402.58,630.43,586.36
23,600.67,958.83,417.14,359.88,435.99,345.65,483.65,251.76,251.4,161.77,366.99,3.5,57.92,105.58,305.82,317.2
24,266.55,261.08,288.76,150.58,205.27,114.97,192.33,267.33,76.02,54.14,162.52,1.57,9.16,7.93,55.59,0.01
25,817.79,692.25,537.76,481.04,302.03,305.87,528.9,304.4,250.63,268.65,462.73,15.2,134.25,111.5,156.4,293.76
