TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
2138,3796,362,500,16,17,545,589,9,8,68,78
1436,3573,222,498,13,21,877,74,12,4,108,11
1886,4133,282,566,15,21,475,311,10,4,67,40
2162,5988,343,835,13,22,1115,162,12,3,132,18
2761,5200,392,699,15,21,446,253,10,4,70,38
2368,4995,379,744,18,24,436,28,7,1,52,7
1984,4363,297,638,14,17,420,452,11,8,71,74
1226,4577,218,670,15,21,817,385,10,4,112,60
1561,4488,264,635,16,19,787,317,9,6,98,66
2178,4560,275,584,17,20,737,218,8,5,100,46
4163,6528,379,673,14,20,494,249,11,5,72,31
3181,6695,384,808,20,22,511,53,5,3,59,9
3848,9204,465,938,16,21,526,332,9,4,53,41
3443,6061,461,694,20,21,356,233,5,4,56,52
3167,7777,316,767,15,22,650,271,10,3,92,47
2312,5779,292,726,14,20,929,495,11,5,130,49
4026,7248,434,782,14,20,1217,335,11,5,156,54
3532,7083,445,726,15,18,1018,533,10,7,105,59
5283,9965,523,951,18,23,673,90,7,2,73,9
3456,7567,419,904,16,21,450,477,9,4,55,48
1100,4097,145,591,13,19,946,320,12,6,148,49
732,2597,104,379,10,14,1300,1561,15,11,199,233
1173,3292,151,420,15,14,466,1039,10,11,83,171
896,3637,146,478,6,16,1705,487,19,9,227,69
1333,4194,209,617,15,18,915,449,10,7,130,77
1031,3516,184,519,15,20,1400,579,10,5,203,85
1613,4786,201,623,9,19,1126,535,16,6,162,79
1045,3877,178,584,15,20,807,404,10,5,119,58
1273,2810,161,388,9,19,1350,386,16,6,254,64
741,3735,114,528,11,19,1408,249,14,6,228,49
4308,8958,388,836,17,19,593,573,8,6,77,94
1477,4005,207,463,14,18,1509,826,11,7,167,83
1466,5172,184,602,12,15,1245,863,13,10,166,114
1328,5322,156,678,11,20,1672,631,14,5,170,68
2548,6100,261,680,11,22,1543,398,14,3,192,39
1526,5537,171,605,10,16,1693,880,15,9,235,158
2176,5575,235,549,14,17,1333,1159,11,8,139,119
3163,7249,377,697,16,17,859,716,9,8,107,117
3336,7876,313,744,16,17,1335,655,9,8,131,71
2610,4025,299,396,12,16,1793,855,13,9,184,115
4597,6753,626,956,20,21,146,283,5,4,19,46
5895,9181,741,1185,19,24,338,280,6,1,56,28
4538,9466,630,1237,19,22,615,443,6,3,68,66
2750,5119,465,838,19,22,322,355,6,3,47,41
2797,6160,459,923,16,20,558,591,9,5,90,77
3768,6389,576,928,20,20,190,334,5,5,25,48
4439,8772,636,1095,19,21,522,294,6,4,60,60
3813,7761,491,1104,18,22,200,205,7,3,32,34
4639,7052,605,935,18,20,532,414,7,5,103,55
3219,7862,468,1065,17,22,229,88,8,3,29,13
9101,13202,915,1224,18,22,725,60,7,3,69,8
4625,7455,569,1081,22,22,302,556,3,3,36,54
5995,10460,686,1317,20,24,165,12,5,1,37,2
4556,10085,555,1080,15,22,514,126,10,3,93,21
9324,12866,868,1162,22,19,144,540,3,6,17,62
3564,10476,439,1215,18,22,636,189,7,3,61,26
4969,9296,479,1090,19,22,338,348,6,3,47,44
7890,12532,781,1224,20,20,489,341,5,5,51,47
7707,13651,771,1365,22,21,180,412,3,4,22,50
8056,11189,871,1169,21,21,201,454,4,4,30,42
2622,5346,406,749,16,17,907,486,9,8,132,88
3995,7524,548,933,16,21,920,448,9,4,139,89
3874,8097,623,1212,18,21,652,468,7,4,94,59
1977,5915,255,875,13,20,800,666,12,5,110,78
2111,6096,306,827,15,21,972,650,10,4,134,79
3638,8154,494,1021,16,21,895,439,9,4,128,70
2692,6866,410,993,15,21,745,417,10,4,99,56
2816,7096,416,988,17,20,941,678,8,5,129,111
1888,5043,218,662,10,19,1771,513,15,6,257,73
1409,5287,188,755,13,20,1354,410,12,5,184,61
6497,10075,628,1071,14,18,950,588,11,7,129,76
4333,10279,496,1096,20,21,411,318,5,4,59,56
7202,13283,627,1085,14,18,1209,478,11,7,147,65
5710,7753,690,886,19,20,701,552,6,5,78,69
4522,9027,566,1037,15,21,810,114,10,4,97,24
4671,9052,573,1227,15,21,1479,444,10,4,151,40
4845,8313,544,921,19,20,599,320,6,5,68,62
4973,8197,556,851,15,18,1576,981,10,7,159,122
5669,10681,609,1169,17,20,915,1014,8,5,111,104
4685,10201,509,1060,14,18,1191,614,11,7,182,117
2327,4875,300,604,13,16,657,798,12,9,103,101
1562,4465,212,637,13,20,816,296,12,5,106,35
2011,6057,267,736,13,20,664,163,12,5,88,35
1800,4946,273,702,13,23,713,168,12,2,88,24
1252,3802,204,547,14,20,871,289,11,5,113,48
2421,5310,351,731,15,22,654,208,10,3,81,26
1523,6177,238,900,12,21,1029,294,13,4,136,34
1857,3996,261,566,14,18,1050,624,11,7,122,69
1319,3344,171,422,14,16,917,614,11,9,138,83
1314,3796,214,525,12,19,1033,275,13,6,163,44
2165,4962,233,495,13,18,1129,554,12,7,140,77
3383,10043,361,1133,18,24,332,52,7,1,31,4
3257,7860,315,759,16,22,532,528,9,3,59,50
2921,8841,302,991,15,21,568,178,10,4,71,29
2439,5086,280,505,13,20,1424,330,12,5,138,47
4906,9857,475,862,17,20,764,298,8,5,75,41
2732,7672,270,782,16,20,722,291,9,5,79,52
3534,6493,421,666,13,19,1271,474,12,6,112,47
2266,5886,262,598,14,19,993,531,11,6,129,71
4397,7298,416,708,16,21,1064,531,9,4,117,54
832,2776,129,441,10,14,1166,1230,15,11,198,190
1028,4700,178,668,10,22,1090,341,15,3,171,54
1092,4111,161,536,11,16,887,855,14,9,152,123
1420,4593,207,653,15,19,908,313,10,6,122,69
1510,4984,221,723,18,22,779,540,7,3,122,62
1684,4940,225,670,12,17,1515,1132,13,8,250,182
1628,4566,240,593,14,18,1280,809,11,7,149,133
1507,5180,197,634,11,19,1397,419,14,6,181,70
1366,4432,186,621,11,18,903,367,14,7,138,47
1575,5533,225,687,11,17,1727,928,14,8,217,133
1499,3460,172,405,16,13,560,1464,9,12,62,141
1153,3157,162,394,12,15,1600,1402,13,10,195,201
