TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
1661,2311,224,321,15,21,207,143,10,4,27,15
1914,6079,272,804,19,25,310,0,6,0,45,0
1687,3628,236,498,16,25,225,0,9,0,27,0
1920,3058,244,397,14,22,411,53,11,3,58,9
1819,2898,239,385,14,18,662,184,11,7,80,34
1836,2821,257,428,14,23,156,47,11,2,27,8
1090,3926,168,551,19,25,279,0,6,0,37,0
952,1900,149,286,17,22,229,82,8,3,42,13
2040,4725,300,665,14,24,716,0,11,1,91,0
1212,2606,165,360,12,22,345,56,13,3,43,6
3092,5086,319,501,16,21,309,56,9,4,46,14
2942,5685,322,617,17,24,735,30,8,1,78,6
3129,4868,389,460,18,22,272,30,7,3,31,7
3373,4813,382,593,16,24,416,18,9,1,60,3
2859,3994,250,359,13,20,365,190,12,5,65,42
1464,2891,200,327,12,20,475,221,13,5,68,39
3529,7713,434,832,14,24,923,8,11,1,120,1
3897,6697,404,675,15,22,806,100,10,3,109,25
4907,7861,487,734,17,24,259,0,8,1,29,0
3008,4151,325,441,15,22,242,87,10,3,33,10
1271,2649,151,334,10,17,882,179,15,8,123,41
126,837,15,116,3,19,953,240,22,6,153,49
291,1293,41,178,10,20,447,131,15,5,86,20
910,2245,125,275,11,21,791,56,14,4,105,14
390,1967,57,267,13,23,302,38,12,2,47,8
526,1900,82,287,12,22,311,39,13,3,55,7
925,3975,124,535,13,23,761,210,12,2,133,47
449,1378,75,197,14,20,199,74,11,5,30,14
752,2324,110,343,12,24,246,40,13,1,43,10
317,793,53,128,8,15,443,285,17,10,65,39
3773,5239,349,451,17,19,575,420,8,6,74,72
1772,4030,231,418,16,25,749,0,9,0,81,0
972,2175,118,230,12,20,921,357,13,5,103,67
1278,3209,167,327,10,24,1251,5,15,1,145,1
1603,3117,203,363,13,19,727,197,12,6,84,28
2166,4056,262,415,13,23,658,56,12,2,93,11
2022,6077,200,572,13,23,1223,78,12,2,158,12
2649,4264,351,498,17,21,453,169,8,4,68,28
3986,6655,382,609,16,24,867,12,9,1,101,3
2510,3030,259,320,12,15,1519,753,13,10,195,86
4143,5369,624,742,21,24,60,44,4,1,11,11
4184,7316,535,995,15,22,479,55,10,3,69,13
3588,4767,465,680,16,22,157,10,9,3,20,1
2712,4790,408,715,17,25,557,0,8,0,97,0
2693,5435,447,807,17,24,413,28,8,1,56,7
3406,5019,499,684,20,23,109,25,5,2,22,5
3419,6136,485,838,17,24,467,78,8,1,56,13
4025,5966,507,825,25,23,0,38,0,2,0,6
4481,6689,729,966,22,24,300,0,3,1,39,0
1906,4194,247,548,15,20,405,162,10,5,67,30
9721,13531,881,1197,21,25,303,0,4,0,39,0
3504,6086,472,684,15,25,367,0,10,0,48,0
5020,8770,656,1002,17,24,498,30,8,1,65,6
4500,7757,554,885,18,24,651,8,7,1,75,2
8316,10792,720,993,15,23,1316,23,10,2,142,4
4555,5237,522,588,20,19,274,204,5,6,30,32
4535,5369,559,509,16,18,455,155,9,7,52,23
7926,11049,796,980,19,23,331,70,6,2,36,14
5919,8166,653,764,19,21,222,12,6,4,23,2
7993,9140,815,978,20,23,261,45,5,2,30,7
2004,3171,274,429,14,21,760,117,11,4,113,24
3575,5094,495,710,15,22,566,45,10,3,77,5
3360,5942,514,787,18,25,702,0,7,0,95,0
2037,3725,268,492,11,20,774,210,14,5,115,36
1708,5511,232,744,15,22,748,92,10,3,103,22
2993,6009,405,794,16,23,596,32,9,2,71,4
2316,4488,334,600,15,22,334,39,10,3,44,6
2673,3987,359,545,17,23,559,76,8,2,84,16
1634,2616,199,358,13,22,691,118,12,3,92,15
914,1869,166,288,10,15,795,508,15,10,117,71
6013,8057,626,796,18,20,688,214,7,5,100,39
3323,6061,389,670,14,22,933,56,11,3,133,7
7124,9149,665,742,16,17,608,366,9,8,77,67
6187,8628,775,968,19,22,726,124,6,3,110,13
4581,6589,454,751,17,22,123,44,8,3,27,9
4416,8138,551,839,18,23,1187,221,7,2,112,26
5046,9598,611,1157,17,25,458,0,8,0,67,0
4067,6987,448,666,15,19,759,114,10,6,83,17
4490,6853,447,644,16,19,1118,417,9,6,112,47
5294,7948,598,872,15,24,1465,40,10,1,173,8
1957,3600,231,450,16,22,401,140,9,3,60,32
547,3234,98,410,8,20,541,137,17,5,79,27
1010,4673,140,634,13,24,571,0,12,1,84,0
992,2301,142,306,10,20,559,190,15,5,72,31
851,2356,110,333,12,21,495,73,13,4,76,13
1383,3631,180,440,13,21,701,8,12,4,91,2
1399,2628,203,349,16,21,570,80,9,4,75,12
1285,2100,159,270,13,22,406,19,12,3,48,3
1093,2761,128,384,11,20,933,155,14,5,150,25
1140,2686,145,403,8,19,1061,205,17,6,160,30
1979,6161,206,633,13,22,1075,164,12,3,132,41
3592,4989,408,508,18,23,220,36,7,2,29,3
3476,9350,359,913,17,24,440,0,8,1,55,0
3352,5767,356,592,16,23,306,38,9,2,48,8
