TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
1719,2840,253,375,13,20,723,325,12,5,94,46
1320,2860,198,414,11,18,1580,985,14,7,213,120
1806,2596,251,357,17,17,446,452,8,8,67,77
1482,1642,199,229,14,14,774,810,11,11,104,112
1678,2493,225,346,12,15,851,780,13,10,123,108
1872,2578,273,355,17,16,378,425,8,9,55,80
1068,3756,147,518,14,23,763,59,11,2,108,7
494,1905,74,308,8,16,893,525,17,9,136,80
1866,3416,262,457,16,16,383,484,9,9,66,78
1880,2777,272,358,15,16,925,900,10,9,115,121
2743,3511,283,314,13,14,763,558,12,11,105,92
2778,4428,352,514,17,20,548,296,8,5,64,44
3283,6068,349,685,18,21,444,141,7,4,69,23
3034,4729,319,532,17,18,469,422,8,7,77,56
3003,3850,270,368,13,16,657,727,12,9,96,99
1785,2938,213,345,12,17,806,296,13,8,92,36
3393,5141,366,539,15,16,1083,892,10,9,135,110
3572,4563,409,517,15,15,1074,1074,10,10,127,127
4724,10789,462,1020,21,23,314,10,4,2,43,2
3159,5429,330,597,17,20,282,241,8,5,36,37
1427,2673,181,332,14,15,1058,950,11,10,169,159
498,1206,74,175,8,12,983,888,17,13,154,136
736,1454,107,220,13,17,783,554,12,8,137,98
1381,3483,194,438,14,14,1520,1345,11,11,185,194
1248,2159,220,365,13,16,1174,1173,12,9,158,158
945,2111,134,319,11,15,982,875,14,10,155,133
835,2671,109,345,10,14,1224,1021,15,11,190,160
1057,1981,176,302,14,17,1304,896,11,8,207,144
720,1760,92,249,10,14,1682,1137,15,11,278,194
430,1072,58,149,6,10,1583,1447,19,15,253,233
3779,6843,383,590,17,19,1178,830,8,6,148,108
1244,2446,156,335,10,15,1759,1763,15,10,194,203
1272,2533,161,257,13,14,935,983,12,11,103,140
1517,2697,175,347,12,18,1728,1404,13,7,208,170
1589,3607,182,376,10,16,1637,1503,15,9,210,192
1647,3359,167,368,12,15,2747,2069,13,10,315,252
1826,3453,181,358,13,15,1753,1143,12,10,187,126
2952,5057,330,518,15,17,1032,917,10,8,158,140
3238,6693,337,620,13,21,1673,301,12,4,162,28
1930,2768,201,270,11,12,1868,1746,14,13,230,212
4189,5375,548,728,17,21,257,98,8,4,42,18
4535,7472,583,977,20,21,299,266,5,4,53,47
4281,6721,603,915,18,22,541,244,7,3,85,37
2439,5144,385,828,20,23,379,116,5,2,48,14
2172,4329,337,650,16,20,600,449,9,5,83,68
3729,7030,530,1001,20,23,221,55,5,2,39,10
3935,5612,533,759,17,22,561,252,8,3,80,38
3868,7664,531,1023,17,22,225,95,8,3,35,11
4780,7650,695,1041,19,20,529,189,6,5,64,44
2133,4103,328,574,16,19,985,424,9,6,118,63
8207,10599,795,967,21,19,493,554,4,6,38,66
3890,5864,478,731,18,19,573,627,7,6,62,58
4658,7539,614,882,17,18,713,596,8,7,90,91
3802,6879,483,773,17,21,692,268,8,4,88,39
8332,12949,750,1171,17,22,536,86,8,3,63,13
4905,8273,479,815,15,18,758,594,10,7,95,75
5117,9217,602,913,20,19,576,498,5,6,64,75
7740,11924,786,1099,21,22,595,374,4,3,73,38
6738,8527,674,835,18,20,818,330,7,5,89,49
7721,8987,785,939,17,23,505,51,8,2,65,9
1870,3421,274,493,11,19,793,709,14,6,114,123
4270,7528,553,1014,19,20,608,526,6,5,76,93
2921,5269,426,795,15,20,1288,703,10,5,193,119
2183,4489,288,575,12,14,1429,818,13,11,211,144
1486,3020,228,448,12,18,1195,390,13,7,159,55
3421,5156,521,646,17,20,644,445,8,5,97,82
2569,3482,395,529,13,17,1190,694,12,8,164,94
2775,4130,383,555,12,18,925,970,13,7,124,160
1626,2070,197,257,12,14,1512,1463,13,11,193,185
1129,4287,180,633,12,18,1619,548,13,7,239,83
5815,10781,665,1060,18,19,702,834,7,6,93,123
3995,5336,447,475,14,15,1096,795,11,10,158,143
6938,10842,600,1010,16,20,1270,929,9,5,156,95
5596,9601,663,1026,18,20,806,640,7,5,96,127
3941,6742,566,829,17,18,1679,907,8,7,169,107
3917,6785,456,908,14,19,1735,888,11,6,178,93
4133,8282,570,947,17,19,1290,1020,8,6,148,117
3720,5678,385,577,14,13,1159,1406,11,12,122,162
4504,9277,523,849,14,20,1293,464,11,5,143,80
5199,8904,566,958,17,19,1013,660,8,6,164,101
1750,5321,217,676,13,21,506,135,12,4,66,28
951,2491,131,320,9,16,837,398,16,9,101,61
1017,1853,158,271,13,17,786,567,12,8,122,85
936,1325,128,162,9,13,1078,649,16,12,158,104
911,1840,112,245,12,16,559,325,13,9,93,55
999,1997,129,235,10,15,573,340,15,10,73,48
598,1484,89,211,11,17,928,600,14,8,119,69
1370,2967,170,400,15,20,692,329,10,5,85,50
548,1782,61,202,8,16,1136,537,17,9,177,94
1184,2905,164,431,13,20,966,503,12,5,144,68
986,2561,95,226,8,15,1182,685,17,10,147,93
3226,5607,317,553,16,21,492,396,9,4,59,56
3053,9602,310,924,17,24,878,10,8,1,99,2
2557,3647,284,390,16,18,847,710,9,7,105,77
1901,4551,212,423,15,16,745,593,10,9,92,98
4285,7470,379,691,15,21,582,122,10,4,81,25
2328,5418,260,527,13,19,1167,438,12,6,131,67
2087,3119,203,296,18,17,356,532,7,8,53,72
1746,2650,201,287,15,15,1194,1033,10,10,150,128
3814,5357,379,495,17,17,834,829,8,8,87,89
693,1496,97,185,12,11,941,911,13,14,180,178
561,1228,76,186,9,13,1262,1128,16,12,183,155
1008,1648,155,258,11,14,1219,1061,14,11,175,152
556,1320,83,193,8,13,1378,1348,17,12,224,205
406,827,55,127,8,9,1424,1705,17,16,213,245
1079,2422,136,324,11,14,1327,1444,14,11,234,222
920,2543,147,341,10,17,1468,836,15,8,198,144
478,1586,70,209,7,11,1306,1424,18,14,167,193
457,1139,65,155,8,13,1329,945,17,12,192,134
1241,2454,153,293,12,12,1694,1392,13,13,219,189
979,1776,103,187,12,16,1515,1154,13,9,188,154
826,1554,75,146,8,10,1858,1749,17,15,235,217
1744,4085,165,360,11,14,1390,1093,14,11,188,156
1435,3558,181,341,9,16,1056,368,16,9,123,57
1803,2758,158,256,9,12,1503,1136,16,13,182,160
3720,4958,319,413,16,16,1003,1045,9,9,137,141
