TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
1619,2692,236,375,16,19,721,573,9,6,100,74
1320,2197,188,321,9,13,2010,1517,16,12,256,207
1397,2360,215,345,13,18,829,599,12,7,115,87
1539,2861,199,382,17,17,881,478,8,8,108,66
1831,2806,219,368,14,16,667,561,11,9,94,75
1496,2266,227,334,12,17,512,365,13,8,72,61
849,1857,130,259,10,15,607,590,15,10,94,86
688,1393,108,209,12,13,1048,932,13,12,145,135
1618,2896,250,411,15,17,594,622,10,8,89,97
1653,3322,206,432,16,18,663,554,9,7,83,83
2533,3710,259,342,15,14,519,446,10,11,80,74
3130,4787,353,474,18,20,643,419,7,5,77,60
3458,4554,356,509,18,19,487,413,7,6,47,42
3059,4274,365,465,17,17,624,395,8,8,92,69
2664,3655,249,340,14,18,908,651,11,7,136,86
1683,2486,233,280,11,19,903,417,14,6,112,53
3145,4444,324,471,12,16,1486,994,13,9,186,136
3513,5125,400,586,11,18,1234,639,14,7,159,77
4173,5270,429,494,17,18,456,488,8,7,54,59
3601,4941,420,532,18,21,315,360,7,4,35,60
1175,1809,147,226,8,12,1467,1243,17,13,222,187
359,958,52,144,7,13,1214,756,18,12,190,128
444,1507,71,234,9,15,1336,836,16,10,215,125
978,2735,148,371,9,14,2019,1339,16,11,269,181
793,1361,132,227,11,13,1531,1555,14,12,191,194
709,1626,121,259,11,14,1078,1122,14,11,173,172
951,1897,115,242,8,10,1420,1571,17,15,220,229
937,1806,154,301,12,17,1238,832,13,8,191,127
975,1848,133,243,10,13,1764,1308,15,12,297,213
413,1138,60,160,7,9,1796,1510,18,16,280,238
4056,5924,363,497,13,17,1354,646,12,8,180,103
1075,1773,138,204,11,14,2353,2273,14,11,270,262
1619,3004,190,312,11,16,1213,881,14,9,159,135
1223,2484,175,307,13,16,2372,1381,12,9,249,167
1264,2533,135,257,11,11,1658,1685,14,14,210,208
1582,3095,176,338,13,13,2116,2238,12,12,246,266
1860,4635,198,489,13,18,1523,679,12,7,177,69
2790,3728,331,431,16,19,753,460,9,6,120,74
