TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
1577,2101,245,294,15,16,775,885,10,9,100,114
1426,2097,194,287,10,12,1745,1964,15,13,236,262
1705,2845,258,413,16,16,677,599,9,9,86,82
1677,2384,229,316,15,17,1097,901,10,8,132,116
2167,2913,311,374,17,17,544,379,8,8,76,63
1721,3416,266,477,18,19,464,137,7,6,70,29
1189,2205,173,292,13,16,675,407,12,9,100,63
806,1362,135,198,13,13,1107,965,12,12,161,149
1652,2568,266,380,14,16,734,705,11,9,101,115
1649,2711,233,358,14,16,560,445,11,9,68,70
2353,4237,246,393,14,19,628,184,11,6,86,33
3043,4246,355,449,17,17,636,563,8,8,79,86
3269,3897,348,432,14,16,1028,893,11,9,91,86
3142,3906,383,409,19,15,214,595,6,10,37,111
2786,3368,261,321,16,15,808,759,9,10,112,113
1318,2301,168,268,11,12,1024,924,14,13,135,136
3587,4735,369,497,12,16,1071,715,13,9,150,101
3612,3839,383,416,15,16,888,945,10,9,98,104
3970,6247,396,572,16,17,560,319,9,8,64,38
3572,5360,454,547,15,19,476,429,10,6,54,74
1093,1769,133,203,11,12,1351,1222,14,13,211,189
536,816,79,122,9,10,920,1157,16,15,140,175
578,1253,83,170,9,9,1539,1335,16,16,260,224
967,1926,147,261,10,12,1802,1141,15,13,237,175
716,1374,111,227,9,11,2151,1981,16,14,278,241
756,1553,152,275,9,14,1658,1108,16,11,239,160
1195,2188,147,276,9,14,1344,1081,16,11,213,173
838,1792,150,320,12,15,1282,1248,13,10,185,176
975,1624,118,192,8,8,1490,1762,17,17,252,294
488,1055,83,152,7,9,1914,1565,18,16,278,224
3886,4716,362,418,13,15,838,1118,12,10,108,136
863,2374,85,243,8,14,2490,1763,17,11,309,216
1679,2751,152,287,9,16,1671,780,16,9,207,116
1618,2533,195,297,12,12,2039,1548,13,13,245,187
1114,2318,123,221,8,9,1753,1587,17,16,217,205
1897,3092,195,335,13,16,1646,1837,12,9,210,202
2940,4275,287,446,15,13,1597,902,10,12,168,99
2554,3675,298,398,16,17,1233,927,9,8,153,116
3157,5104,288,466,12,18,1486,803,13,7,151,77
1886,3433,177,319,7,14,2381,1636,18,11,273,209
4379,5396,622,735,21,23,201,83,4,2,33,15
4953,5945,677,769,19,18,324,339,6,7,48,54
3618,4430,497,667,16,22,416,166,9,3,53,21
1722,1819,296,316,12,12,1014,966,13,13,138,132
1827,2227,272,318,17,17,856,584,8,8,126,94
3313,4609,499,665,19,20,566,444,6,5,81,64
3077,4513,408,593,13,18,1120,375,12,7,138,50
3315,4345,398,521,16,18,336,228,9,7,61,40
4299,5252,672,785,18,20,460,310,7,5,66,52
2595,2891,398,431,13,15,893,992,12,10,113,124
8640,10507,863,929,19,18,1049,391,6,7,100,50
3357,3763,406,437,17,15,257,425,8,10,43,75
4480,5828,566,670,15,19,1202,552,10,6,134,78
4091,5137,485,572,15,15,914,727,10,10,120,124
10119,12208,858,1090,18,19,538,406,7,6,57,44
3940,5569,414,571,15,18,979,863,10,7,113,106
4413,5731,438,523,15,16,1102,503,10,9,124,58
7553,9320,752,830,17,17,603,934,8,8,74,110
6250,7351,631,672,17,17,476,551,8,8,58,91
7450,8433,740,748,17,15,586,756,8,10,86,116
1687,2086,227,291,12,12,1724,1442,13,13,230,194
3133,3951,399,507,17,19,1149,945,8,6,155,137
2921,3563,422,505,18,16,813,1174,7,9,107,156
1540,2219,230,300,12,11,1059,892,13,14,150,136
1572,2235,219,299,9,12,2040,1994,16,13,266,256
2730,3527,389,465,12,15,1294,1229,13,10,161,182
1687,2375,252,360,13,14,1439,1411,12,11,198,196
2217,3718,300,518,13,17,1388,826,12,8,199,131
941,1707,117,198,9,10,2355,2275,16,15,292,285
573,891,97,155,9,10,2093,1662,16,15,308,243
6621,7340,758,665,17,15,976,1002,8,10,141,160
4283,8114,492,782,14,18,1019,519,11,7,144,88
6991,8903,629,780,16,18,1241,705,9,7,127,91
5759,7017,716,730,17,15,1132,1344,8,10,142,203
3747,4982,460,522,14,14,1657,1386,11,11,207,199
3065,3602,308,362,10,10,1892,1917,15,15,244,234
4572,5683,512,626,16,19,783,818,9,6,115,119
3555,4143,364,424,13,15,1502,1045,12,10,172,135
5386,7483,583,669,15,17,1165,870,10,8,130,113
4483,5829,607,690,14,14,1932,1617,11,11,229,190
1915,4185,235,497,11,19,1099,387,14,6,162,76
1406,1831,178,255,14,16,802,716,11,9,115,95
1049,3618,139,490,13,21,783,53,12,4,123,8
961,1564,128,215,8,11,938,722,17,14,138,114
1242,2992,189,450,12,18,844,386,13,7,137,70
1505,2483,183,297,10,17,941,440,15,8,136,77
1196,4010,172,539,13,20,777,157,12,5,99,33
1003,2018,130,291,12,15,844,617,13,10,95,76
880,1713,125,218,11,14,1099,927,14,11,150,136
1044,2078,166,310,8,13,1148,1017,17,12,179,158
1249,1797,144,177,9,12,1124,1139,16,13,144,157
3632,4330,360,371,18,15,435,550,7,10,71,86
2814,8730,287,855,12,23,780,48,13,2,81,9
3228,4787,333,496,17,20,334,159,8,5,45,26
2267,3196,252,284,13,12,814,935,12,13,108,121
4454,6269,393,582,20,20,235,284,5,5,36,43
2083,2412,222,223,14,12,1396,1310,11,13,142,153
3248,5085,337,510,13,18,1046,715,12,7,120,70
2086,4630,190,497,9,19,1554,683,16,6,211,101
4007,6553,356,582,15,18,1036,610,10,7,113,80
577,1154,74,147,8,8,1497,1689,17,17,251,269
450,789,70,113,7,7,1801,1772,18,18,259,246
714,1298,117,195,11,14,1632,1040,14,11,229,146
319,642,40,85,7,11,1719,1494,18,14,277,247
459,1754,80,250,9,16,1566,803,16,9,225,126
1420,2486,185,310,13,13,1031,1304,12,12,182,228
1147,1566,165,221,12,13,1436,1347,13,12,170,173
921,3095,120,360,7,16,2032,630,18,9,252,100
933,2607,128,356,11,14,1571,1191,14,11,225,169
1003,1748,148,220,10,15,853,1089,15,10,121,175
1353,3334,168,357,9,15,1765,735,16,10,182,103
609,1649,85,158,7,11,1950,1529,18,14,229,211
1843,2898,203,259,9,12,1788,1441,16,13,225,220
1985,3682,229,397,12,17,1211,937,13,8,141,131
1748,3949,189,415,14,19,1275,615,11,6,155,86
3535,5832,290,511,13,16,960,904,12,9,139,134
765,2651,76,258,5,13,2948,2058,20,12,343,261
2000,3803,240,399,11,14,1729,1330,14,11,202,169
1370,3262,135,305,8,13,2573,2003,17,12,273,220
507,1136,81,140,8,11,2080,2229,17,14,270,277
4459,5725,613,826,19,23,90,93,6,2,14,13
2659,3340,438,516,16,16,541,465,9,9,77,75
2454,3047,385,421,13,15,1026,850,12,10,132,120
3788,5224,457,621,16,18,821,704,9,7,104,96
2110,2900,310,405,15,14,754,678,10,11,109,98
4589,5338,579,669,16,17,517,487,9,8,90,83
3516,5447,502,696,18,23,490,128,7,2,75,19
4463,5106,597,663,18,19,423,207,7,6,78,43
4298,6088,630,929,18,22,389,112,7,3,55,15
2939,3615,442,531,15,16,259,295,10,9,43,49
3701,6073,456,758,14,18,908,574,11,7,100,83
4751,6336,483,559,18,17,998,1055,7,8,107,115
5110,7646,644,882,18,20,601,247,7,5,70,32
7090,9246,679,793,13,14,1374,1262,12,11,157,168
6607,7776,611,692,14,16,759,802,11,9,88,106
6154,7415,755,884,20,19,430,212,5,6,48,32
5288,6397,651,718,17,18,908,805,8,7,96,91
5390,9467,557,1012,15,23,932,56,10,2,111,14
6268,7793,696,771,18,20,1008,815,7,5,101,88
5772,8037,684,789,19,19,632,748,6,6,66,107
1149,1516,143,187,13,12,1125,1398,12,13,174,202
944,1878,143,281,11,14,1514,1178,14,11,204,150
1264,2813,183,339,13,17,1011,857,12,8,142,136
1894,3723,250,504,12,18,987,524,13,7,158,88
2434,3547,356,476,15,17,1053,832,10,8,140,128
2782,4494,367,558,13,14,1153,1137,12,11,167,203
2438,3669,354,500,16,17,727,854,9,8,112,126
2898,3855,363,493,15,13,1150,1269,10,12,168,183
3164,3963,470,546,14,16,986,761,11,9,147,140
2213,2821,264,373,14,12,1665,1705,11,13,239,248
3834,5280,414,486,14,18,1191,878,11,7,146,113
3541,8551,413,981,16,21,972,331,9,4,123,68
4401,6494,546,708,13,17,1844,1108,12,8,213,127
3298,3972,384,398,14,13,1083,1102,11,12,108,131
4904,5467,491,532,16,15,927,1188,9,10,139,173
4478,5144,453,472,14,13,1658,1108,11,12,199,132
3639,5679,388,538,17,17,798,602,8,8,115,114
3616,6193,412,738,18,20,1224,546,7,5,134,64
2959,4638,380,546,12,17,1853,1193,13,8,180,129
2400,4192,256,449,10,18,1982,989,15,7,226,119
9777,12550,1383,1794,34,38,1167,975,16,12,162,131
10121,11904,1467,1724,35,34,1415,1415,15,16,201,219
10081,12727,1426,1727,34,37,1336,1033,16,13,192,162
9358,12758,1418,1895,33,41,1191,492,17,9,172,81
9748,12330,1511,1834,37,39,850,715,13,11,128,102
6147,8065,960,1253,27,32,1640,1366,23,18,251,213
9642,12088,1502,1783,36,37,916,698,14,13,132,106
10075,15377,1368,2027,31,40,1427,586,19,10,199,102
9644,11576,1458,1747,40,41,1022,938,10,9,132,120
9589,14414,1301,1872,37,39,889,646,13,11,122,100
10275,13146,1348,1661,31,37,1927,1135,19,13,196,123
21102,23807,2306,2534,42,40,1435,1442,8,10,148,152
17873,19649,1718,1858,35,37,1201,967,15,13,153,127
16438,18831,1789,2063,37,40,909,668,13,10,111,84
15961,19320,1767,2042,34,37,1465,1226,16,13,145,129
13813,19460,1451,1994,35,43,1419,339,15,7,166,37
16148,22458,1727,2283,38,38,1107,552,12,12,138,81
12616,16234,1384,1786,33,38,1949,944,17,12,194,101
14528,16823,1749,1899,35,38,1280,932,15,12,174,143
19290,22200,2112,2403,37,40,831,753,13,10,88,92
7359,9958,991,1381,28,34,2512,1791,22,16,338,242
6171,7850,861,1071,29,32,2278,2141,21,18,311,295
8909,10363,1242,1419,34,34,2143,2068,16,16,329,317
7684,8731,1097,1248,31,33,2399,2015,19,17,364,309
7681,9665,1038,1270,28,33,2927,2062,22,17,468,341
10226,10942,1595,1639,38,38,1275,1139,12,12,193,181
6825,8934,912,1198,27,32,2317,1630,23,18,319,240
10713,11500,1374,1491,30,31,1864,1789,20,19,305,291
7205,8062,1089,1256,30,34,2682,2534,20,16,371,354
5072,7313,804,1126,25,29,2929,2486,25,21,417,358
13888,15573,1333,1504,30,32,2560,2445,20,18,316,299
16236,18419,1727,1899,32,33,2443,1791,18,17,297,208
18014,20827,1707,1979,33,35,2306,2450,17,15,278,330
14934,18615,1395,1768,32,29,2731,1685,18,21,322,211
11388,15088,1323,1580,29,29,3254,2740,21,21,383,336
22091,26815,2121,2405,36,39,1729,1080,14,11,191,124
16003,20819,1982,2504,35,38,1749,1174,15,12,195,158
10333,12968,1380,1700,31,37,3021,2250,19,13,341,272
14967,19732,1484,1917,33,36,2487,2035,17,14,333,272
20404,24404,2035,2415,35,37,3207,2189,15,13,338,237
18559,20030,2503,2637,37,40,760,780,13,10,97,105
13786,16378,2298,2567,39,42,693,456,11,8,93,63
18370,19519,2459,2639,36,38,1215,678,14,12,156,85
17498,19871,2284,2559,37,38,1459,720,13,12,211,108
11685,14336,1973,2435,43,44,719,487,7,6,84,59
18310,20376,2484,2785,35,37,1046,965,15,13,157,139
13906,15692,1990,2137,37,37,737,650,13,13,109,99
14966,19787,2237,2877,35,39,1100,708,15,11,175,124
13588,17044,2111,2585,34,39,1309,708,16,11,180,112
10505,12982,1557,1837,36,37,1355,1119,14,13,231,202
32578,34043,3454,3347,35,39,1395,1183,15,11,165,147
29382,31592,3342,3370,41,42,595,525,9,8,58,59
35531,41987,4073,4358,42,47,707,143,8,3,78,24
28755,36414,3349,4041,41,46,873,140,9,4,119,30
31475,33039,3360,3486,41,43,864,522,9,7,107,65
23731,26493,2680,2879,38,40,954,691,12,10,100,69
25697,27891,2880,3111,41,42,967,827,9,8,98,82
24323,25489,2714,2769,40,40,1370,1049,10,10,138,112
32231,34428,3147,3312,40,41,1054,1040,10,9,106,111
26577,28851,3071,3183,41,39,1469,1170,9,11,149,123
13776,16020,1901,2136,34,35,1631,1420,16,15,285,250
13469,16905,2004,2389,33,37,1765,1198,17,13,264,205
12990,14759,1720,1932,32,35,2113,1233,18,15,306,188
14295,17480,2064,2337,35,38,1592,1128,15,12,211,161
20028,22260,2687,2892,35,37,1305,984,15,13,181,142
15946,18800,2363,2737,36,38,1434,1364,14,12,209,208
14158,17356,2252,2630,36,39,1815,1315,14,11,247,198
11295,13520,1502,1763,30,31,1969,1803,20,19,287,272
10464,11986,1515,1677,26,31,2839,2285,24,19,390,306
17402,19882,2273,2657,35,39,1544,1281,15,11,234,215
17611,19705,1922,2066,31,32,2011,1869,19,18,255,232
29111,30536,3192,3478,39,38,2144,2011,11,12,235,236
26138,30160,2872,3197,35,36,2307,1675,15,14,257,228
26022,34205,2436,3120,33,39,2112,939,17,11,253,142
19210,22547,2140,2279,35,42,1939,1104,15,8,220,134
30067,34173,3041,3411,40,38,1490,1479,10,12,186,188
28524,30166,3136,3200,38,41,1990,1566,12,9,230,183
22996,26538,3043,3246,35,35,2869,1685,15,15,336,223
22529,24838,2674,2853,38,35,2070,2011,12,15,248,257
29489,33294,2993,3242,37,35,2206,2386,13,15,249,280
9932,12074,1413,1676,34,34,1239,1175,16,16,172,160
5168,7589,730,1085,26,32,1623,1307,24,18,254,212
9297,11892,1313,1682,33,37,1296,830,17,13,159,99
8873,12487,1204,1657,37,41,1121,762,13,9,161,106
7504,11393,1165,1683,34,41,1058,576,16,9,167,95
12116,14994,1663,1983,34,39,1463,855,16,11,203,136
6644,8806,1021,1380,31,35,1231,989,19,15,170,135
7910,11009,1070,1484,34,38,1349,909,16,12,188,128
10670,14321,1449,1996,37,40,1143,1004,13,10,165,147
10100,13021,1440,1840,37,41,872,837,13,9,114,116
14437,19253,1532,1804,38,39,729,701,12,11,89,100
17174,21219,1729,2123,33,36,1310,861,17,14,159,116
15021,21493,1540,2218,33,37,1592,828,17,13,199,119
11899,13640,1535,1675,35,38,1206,949,15,12,147,113
24570,27278,2374,2592,44,44,370,394,6,6,53,59
19004,27990,1966,2812,36,44,1186,336,14,6,129,43
24026,28955,2386,2830,41,42,1107,998,9,8,134,124
12800,15537,1333,1545,36,35,1335,1090,14,15,146,131
17592,23271,1780,2270,39,41,790,525,11,9,86,69
23594,26508,2358,2508,39,40,1127,1222,11,10,125,131
9357,12047,1230,1590,41,41,898,794,9,9,121,117
9276,10740,1232,1421,33,35,1519,1661,17,15,199,208
7931,9883,1143,1396,31,38,1677,1026,19,12,248,152
7096,9860,1141,1552,33,35,2053,1385,17,15,284,199
6549,6560,886,889,25,25,2510,2532,25,25,425,427
8995,11300,1201,1531,30,32,2275,1876,20,18,330,284
12020,14332,1490,1732,36,36,1713,1336,14,14,257,215
11109,14151,1628,1990,34,36,1631,1559,16,14,244,247
7973,10814,1179,1552,31,34,2507,1755,19,16,339,240
9627,11907,1279,1587,37,38,1499,1485,13,12,192,189
15113,17469,1763,2069,36,37,1417,1617,14,13,192,187
20054,23898,2158,2508,40,40,1530,889,10,10,160,109
13333,18330,1501,2002,32,36,2379,1133,18,14,277,154
15885,19904,1556,1960,33,35,1918,1835,17,15,219,219
12242,14325,1486,1647,37,37,1814,1672,13,13,234,217
12069,13275,1198,1257,32,33,2672,2453,18,17,320,280
12916,15100,1409,1627,30,33,2167,1790,20,17,248,200
17646,21607,1776,2031,36,39,1821,950,14,11,189,100
13901,22067,1396,2087,33,33,2441,1870,17,17,288,236
16979,20864,1956,2274,38,38,1021,1402,12,12,123,200
14399,18727,2129,2703,35,40,1255,644,15,10,186,96
18280,21067,2373,2781,34,42,1277,546,16,8,193,74
11664,18939,1811,2880,39,47,1063,144,11,3,148,25
9632,12523,1417,1832,34,37,1030,789,16,13,147,110
15390,17327,2219,2463,39,39,952,787,11,11,111,88
16522,21526,2240,2785,36,37,1262,1320,14,13,164,181
14645,19704,2111,2771,39,40,851,679,11,10,116,96
17008,20063,2429,2704,38,41,1289,600,12,9,171,89
17664,19346,2636,2810,38,43,933,409,12,7,146,63
17080,19623,2390,2712,37,40,953,715,13,10,123,96
36862,38351,3942,3840,39,42,649,586,11,8,76,86
31640,34751,3265,3562,40,41,888,1023,10,9,109,110
29969,37425,2999,3577,40,43,887,366,10,7,84,42
24423,29498,2676,2902,36,37,1161,885,14,13,137,127
35984,39688,3377,3772,40,43,794,610,10,7,93,85
21112,22346,2468,2599,36,36,1196,1147,14,14,155,147
24797,30603,2768,3320,36,43,1122,739,14,7,184,104
28076,32542,2992,3593,42,47,466,98,8,3,58,13
36418,38919,3756,3958,42,42,773,682,8,8,105,94
27587,31674,3029,3412,42,41,1023,839,8,9,123,96
13695,20128,1830,2530,33,37,2161,2009,17,13,297,313
15014,16331,2034,2160,35,36,1657,1717,15,14,251,272
18939,22345,2489,3016,35,39,1408,1072,15,11,232,172
16484,18750,2453,2786,35,36,1365,1367,15,14,193,181
10462,14927,1475,2010,33,34,2064,1971,17,16,292,293
13174,16037,1826,2225,35,38,993,1238,15,12,159,192
11588,14489,1702,2039,31,34,2438,2287,19,16,337,327
11195,13872,1652,2015,32,35,2285,1984,18,15,301,256
15036,16636,2038,2326,35,35,1819,2180,15,15,243,283
14577,16810,2130,2368,35,35,1806,1497,15,15,272,232
25128,30183,3073,3422,41,42,1010,504,9,8,157,84
18171,25198,1970,2633,34,39,1740,884,16,11,235,141
20705,23293,2113,2171,31,31,1776,1331,19,19,254,195
27864,32247,3037,3143,38,42,2327,595,12,8,228,90
24868,30009,2467,2786,36,37,2006,1405,14,13,233,202
30549,35800,3154,3706,39,43,1604,1050,11,7,179,120
26149,27884,2619,2904,35,38,1645,1250,15,12,184,136
21296,25684,2428,2741,38,37,1769,1769,12,13,185,183
29354,31163,2942,3151,39,40,1424,1226,11,10,166,151
32419,36944,3496,3674,39,40,1318,1000,11,10,160,131
28205,31702,3737,4303,52,56,1102,1111,23,19,182,183
25793,29734,3373,3924,56,56,1312,1188,19,19,197,171
22026,24117,3099,3452,59,60,1484,1400,16,15,188,178
26002,29612,3786,4317,61,62,920,894,14,13,153,145
22467,27898,3088,3752,51,55,1646,1318,24,20,232,192
30219,35330,3845,4378,54,56,1417,1255,21,19,209,183
22807,27296,3241,3793,52,56,1844,1526,23,19,277,222
24546,28700,3629,4193,61,61,1248,1248,14,14,165,165
27138,31598,3695,4272,60,61,1325,1283,15,14,170,177
26021,29798,3693,4241,58,58,1440,1284,17,17,210,189
46705,52765,4972,5468,63,65,1016,989,12,10,118,113
53416,60211,5092,5764,60,64,1423,1179,15,11,171,136
