TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
3112,4407,414,552,21,21,296,408,4,4,47,60
1479,4453,206,641,15,22,598,72,10,3,75,10
2082,4550,329,609,17,22,395,92,8,3,60,17
2497,4690,354,628,19,18,348,346,6,7,41,49
2656,5121,359,714,17,21,472,303,8,4,60,51
2477,3572,359,501,19,19,349,373,6,6,69,72
1852,3410,276,497,15,17,869,597,10,8,117,81
1722,3593,255,537,16,19,380,407,9,6,62,53
1894,4840,262,645,17,24,586,18,8,1,84,2
2175,4877,289,619,16,21,377,313,9,4,51,60
3671,6474,383,767,19,20,289,343,6,5,50,42
2829,7474,330,873,16,23,761,137,9,2,106,25
3173,7834,393,844,17,23,682,143,8,2,76,32
2811,5956,401,790,19,22,566,155,6,3,55,36
3381,9443,291,910,12,20,1066,508,13,5,137,60
1479,5844,192,694,13,21,864,371,12,4,118,44
3499,7798,355,829,14,21,1043,369,11,4,132,32
3660,8237,372,951,17,22,819,380,8,3,96,35
5463,10860,525,1059,18,21,450,108,7,4,54,11
3970,4856,468,674,19,19,586,834,6,6,53,85
2101,3990,249,572,15,19,820,613,10,6,149,93
1284,2492,192,361,10,16,1741,1259,15,9,251,189
1313,2977,181,410,15,19,542,744,10,6,111,128
2352,3235,299,416,15,16,1506,910,10,9,188,121
1905,2682,279,395,17,17,1287,1058,8,8,175,133
1481,2179,217,314,11,14,1022,525,14,11,164,101
1178,4120,153,586,10,18,1036,698,15,7,173,91
1364,3253,198,472,13,18,1034,577,12,7,163,101
1532,2606,237,413,13,21,764,722,12,4,120,118
1760,2450,233,323,11,14,1087,467,14,11,190,85
3831,7875,334,765,13,22,1323,495,12,3,142,58
1780,5303,204,647,14,19,1378,1198,11,6,182,117
1559,5737,181,684,14,21,1037,551,11,4,110,71
1574,3777,203,476,11,18,1357,971,14,7,150,111
2030,6163,218,690,13,20,1184,656,12,5,137,74
2230,5756,266,640,16,18,1394,1154,9,7,205,193
1878,6272,183,585,14,19,1369,828,11,6,151,85
3851,6263,391,603,16,17,928,1286,9,8,130,175
2938,8302,269,840,15,21,1082,742,10,4,131,85
2020,4858,196,517,9,17,1926,1102,16,8,225,135
4160,8377,599,1205,21,22,231,216,4,3,31,32
5066,8598,767,1135,21,23,58,284,4,2,9,29
3661,8511,521,1062,20,18,402,280,5,7,62,65
3558,3558,514,514,20,20,456,456,5,5,80,80
2230,6337,341,952,20,22,323,202,5,3,49,29
