TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
2458,3796,329,500,17,17,381,589,8,8,55,78
2199,3573,315,498,14,21,824,74,11,4,112,11
2014,4133,283,566,14,21,838,311,11,4,113,40
2194,5988,313,835,14,22,1001,162,11,3,118,18
2768,5200,407,699,17,21,667,253,8,4,93,38
2187,4995,348,744,18,24,389,28,7,1,46,7
1622,4363,230,638,16,17,431,452,9,8,70,74
1426,4577,236,670,14,21,596,385,11,4,86,60
2110,4488,315,635,15,19,713,317,10,6,95,66
2113,4560,299,584,18,20,410,218,7,5,60,46
3540,6528,359,673,21,20,226,249,4,5,33,31
2813,6695,333,808,17,22,860,53,8,3,106,9
4038,9204,472,938,18,21,839,332,7,4,67,41
3344,6061,418,694,17,21,805,233,8,4,82,52
2977,7777,284,767,12,22,896,271,13,3,115,47
2359,5779,283,726,14,20,598,495,11,5,74,49
3517,7248,415,782,13,20,1221,335,12,5,144,54
3801,7083,447,726,15,18,793,533,10,7,81,59
4939,9965,505,951,20,23,209,90,5,2,21,9
3905,7567,492,904,16,21,949,477,9,4,105,48
1799,4097,239,591,15,19,511,320,10,6,85,49
779,2597,109,379,10,14,1174,1561,15,11,187,233
1141,3292,139,420,11,14,939,1039,14,11,171,171
1394,3637,188,478,11,16,868,487,14,9,122,69
868,4194,139,617,14,18,991,449,11,7,142,77
1218,3516,212,519,14,20,1225,579,11,5,181,85
1096,4786,139,623,11,19,1169,535,14,6,197,79
1319,3877,212,584,14,20,809,404,11,5,116,58
1289,2810,163,388,8,19,1230,386,17,6,195,64
1323,3735,199,528,12,19,1416,249,13,6,220,49
4218,8958,407,836,18,19,842,573,7,6,101,94
1418,4005,209,463,13,18,1390,826,12,7,156,83
1699,5172,179,602,14,15,960,863,11,10,131,114
1657,5322,219,678,11,20,1091,631,14,5,134,68
2279,6100,250,680,14,22,1328,398,11,3,175,39
2154,5537,210,605,11,16,2013,880,14,9,222,158
1727,5575,174,549,11,17,1756,1159,14,8,184,119
3265,7249,355,697,14,17,1028,716,11,8,112,117
3492,7876,347,744,16,17,910,655,9,8,90,71
2209,4025,209,396,11,16,1824,855,14,9,222,115
4154,6753,632,956,19,21,346,283,6,4,52,46
5426,9181,780,1185,21,24,316,280,4,1,33,28
4454,9466,618,1237,18,22,405,443,7,3,59,66
2921,5119,537,838,18,22,560,355,7,3,80,41
3464,6160,490,923,15,20,585,591,10,5,88,77
3955,6389,603,928,18,20,461,334,7,5,58,48
4650,8772,600,1095,20,21,474,294,5,4,70,60
4626,7761,664,1104,20,22,352,205,5,3,52,34
4523,7052,662,935,20,20,206,414,5,5,41,55
2028,7862,273,1065,11,22,997,88,14,3,146,13
8471,13202,783,1224,18,22,534,60,7,3,50,8
3941,7455,544,1081,16,22,691,556,9,3,75,54
5873,10460,749,1317,18,24,454,12,7,1,57,2
4925,10085,599,1080,15,22,359,126,10,3,54,21
8633,12866,780,1162,19,19,403,540,6,6,47,62
4297,10476,547,1215,14,22,1069,189,11,3,103,26
4714,9296,552,1090,20,22,602,348,5,3,57,44
8417,12532,812,1224,18,20,669,341,7,5,87,47
6850,13651,620,1365,19,21,222,412,6,4,40,50
7468,11189,810,1169,19,21,657,454,6,4,73,42
2103,5346,306,749,13,17,586,486,12,8,100,88
4126,7524,544,933,14,21,1256,448,11,4,182,89
3009,8097,439,1212,15,21,986,468,10,4,157,59
2237,5915,293,875,13,20,780,666,12,5,127,78
2524,6096,340,827,18,21,906,650,7,4,140,79
3411,8154,461,1021,16,21,801,439,9,4,107,70
2741,6866,407,993,16,21,961,417,9,4,114,56
2379,7096,338,988,15,20,761,678,10,5,107,111
1864,5043,221,662,10,19,1664,513,15,6,210,73
1422,5287,238,755,11,20,1476,410,14,5,213,61
6938,10075,774,1071,17,18,710,588,8,7,102,76
4005,10279,440,1096,15,21,639,318,10,4,109,56
8140,13283,718,1085,19,18,928,478,6,7,98,65
5456,7753,624,886,16,20,1203,552,9,5,161,69
4716,9027,555,1037,18,21,744,114,7,4,79,24
3830,9052,490,1227,16,21,873,444,9,4,110,40
5068,8313,630,921,16,20,847,320,9,5,92,62
4438,8197,450,851,14,18,1251,981,11,7,110,122
5385,10681,563,1169,18,20,757,1014,7,5,96,104
4764,10201,547,1060,17,18,1044,614,8,7,127,117
2363,4875,324,604,14,16,1068,798,11,9,148,101
2015,4465,299,637,18,20,500,296,7,5,64,35
1925,6057,216,736,12,20,1163,163,13,5,180,35
1879,4946,276,702,13,23,740,168,12,2,102,24
1092,3802,161,547,10,20,986,289,15,5,138,48
2322,5310,317,731,19,22,401,208,6,3,59,26
