TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
2044,2969,279,475,14,18,730,757,11,7,92,83
1857,3056,303,529,16,19,1360,925,9,6,152,93
1933,3947,299,628,20,20,347,339,5,5,39,35
2751,5151,400,844,16,21,801,314,9,4,96,32
2918,5358,424,875,17,22,599,330,8,3,81,33
1883,3271,343,606,19,20,450,246,6,5,49,26
1696,5258,287,882,15,23,740,294,10,2,100,30
1165,2564,228,513,16,19,593,498,9,6,75,53
1767,4307,289,698,14,21,682,431,11,4,87,45
1455,3471,210,544,12,22,841,270,13,3,103,27
3410,7869,366,970,16,22,469,252,9,3,65,34
3167,5752,381,778,20,20,647,626,5,5,62,64
3767,6321,503,833,20,22,336,416,5,3,33,40
3372,5779,429,898,16,24,663,252,9,1,71,18
3362,7755,287,850,13,21,962,247,12,4,131,39
2039,5665,275,789,15,21,624,519,10,4,70,51
3969,8663,426,1036,14,22,1172,410,11,3,135,43
3653,6193,395,841,16,19,1065,451,9,6,125,40
5237,9474,545,1004,19,23,314,0,6,2,35,0
2973,5920,326,856,16,19,557,553,9,6,68,51
1931,3897,244,647,11,21,1578,412,14,4,238,46
998,3397,151,537,13,15,1420,1303,12,10,200,164
988,1970,200,363,13,19,834,619,12,6,113,69
1577,3284,232,514,12,20,1227,941,13,5,147,99
1187,3107,214,563,11,18,1793,1746,14,7,199,180
1107,2599,208,486,15,19,1359,905,10,6,185,104
1255,4463,209,743,12,22,983,525,13,3,131,54
1139,2660,221,506,15,19,852,839,10,6,100,89
1110,2479,161,446,10,19,1265,603,15,6,184,61
800,1948,136,354,12,17,1381,962,13,8,195,117
3644,6381,333,655,16,16,837,974,9,9,98,118
1549,5958,206,779,14,20,1551,1008,11,5,185,83
1412,3961,162,559,13,16,774,1343,12,9,81,153
1576,3171,259,508,14,17,1731,1814,11,8,166,180
2201,4425,234,591,10,18,1701,625,15,7,208,60
1498,3739,202,523,11,16,2221,1126,14,9,222,112
2066,5148,214,553,11,18,1932,743,14,7,223,78
2794,5154,321,683,16,20,1231,848,9,5,153,116
3538,7149,355,769,15,21,1549,502,10,4,136,50
2633,6315,246,731,10,19,1671,791,15,6,193,81
4479,8726,583,1453,20,22,259,330,5,3,34,33
5193,9732,638,1502,20,24,183,220,5,1,33,22
3999,6277,595,1036,18,20,378,363,7,5,45,37
2482,4545,402,874,20,20,388,567,5,5,61,59
2928,5679,485,1023,20,23,545,289,5,2,79,31
3272,5380,496,914,21,20,164,391,4,5,19,40
3735,7573,513,1124,17,22,700,150,8,3,90,15
3915,8458,503,1359,21,22,84,30,4,3,13,3
