Instance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,0,0,7,18,8,5,16,2,114,73,133,132,134,122,120,113
2,0,0,0,0,0,0,0,0,2,0,2,4,2,3,3,4
3,0,0,0,0,0,0,0,0,1,3,2,3,4,3,5,3
4,0,0,0,1,0,0,1,0,6,5,5,5,3,4,3,4
5,0,0,1,0,1,0,0,0,4,5,4,0,4,7,7,7
6,0,0,0,1,1,0,1,0,7,11,6,3,5,7,7,8
7,0,0,0,1,0,1,0,0,12,15,2,1,4,9,8,10
8,0,0,2,5,5,1,1,0,12,35,5,12,3,5,7,9
9,2,1,31,33,20,16,21,0,1,10,1,0,1,0,0,1
10,2,5,27,27,26,22,30,3,1,3,0,0,0,0,0,1
11,11,4,28,15,38,35,19,2,0,0,0,0,0,0,0,0
12,3,4,21,24,37,23,40,5,0,0,0,0,0,0,0,0
13,16,20,27,18,17,26,14,11,0,0,0,0,0,0,0,0
14,33,36,13,10,5,24,9,27,0,0,0,0,0,0,0,0
15,54,42,3,3,1,6,7,46,0,0,0,0,0,0,0,0
16,39,48,0,4,1,1,1,64,0,0,0,0,0,0,0,0
Integrated rank,14.37,14.46,10.72,9.86,10.52,11.41,10.26,14.68,2.54,4.36,1.76,1.81,1.71,2.08,2.14,2.44
Rank,14,15,12,9,11,13,10,16,7,8,2,3,1,4,5,6
