Instance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,3466.67,1016.67,250,1220,1156.67,1170,1220,2846.67,0,0,0,0,106.67,0,0,46.67
2,1990,1393.33,1750,106.67,710,1536.67,80,1226.67,0,0,0,0,0,0,0,0
3,1309.68,1554.84,29.03,0,0,0,0,951.61,0,0,0,0,0,0,0,0
4,460.78,400,147.06,265.69,46.08,281.37,197.06,106.86,0,48.04,0,0,0,0,0,0
5,375000,176000,0,98000,20000,0,0,249000,0,0,0,0,0,0,0,0
6,943.75,343.75,837.5,100,387.5,2600,137.5,1437.5,0,0,0,0,0,0,43.75,0
7,1292.31,1573.85,595.38,216.92,398.46,426.15,216.92,1195.38,0,0,0,0,0,0,0,0
8,385.61,217.42,253.03,518.18,103.03,238.64,213.64,678.03,6.06,0,0,0,0,0,0,3.79
9,710.44,798.9,67.03,137.91,25.27,101.1,207.69,539.01,0,25.27,0,0,0,0,0,0
10,791000,1160000,96000,371000,114000,225000,266000,1144000,7000,0,0,0,0,0,35000,0
11,155000,34000,5000,0,5000,70000,0,268000,0,0,0,0,0,0,0,0
12,293000,144000,0,104000,20000,146000,48000,403000,0,0,0,0,0,0,0,0
13,336000,346000,56000,0,36000,0,0,254000,0,0,0,0,0,0,0,0
14,1700,2018.18,490.91,277.27,554.55,1995.45,122.73,2600,0,81.82,0,0,0,0,27.27,54.55
15,36000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,676.81,921.74,453.62,73.91,336.23,305.8,598.55,1326.09,0,53.62,0,28.99,0,28.99,0,0
17,268000,468000,132000,108000,120000,111000,88000,368000,0,0,0,0,0,0,0,0
18,363000,645000,141000,0,194000,153000,59000,593000,0,4000,0,0,0,0,0,0
19,4712.5,3337.5,337.5,243.75,900,925,468.75,3612.5,0,25,0,0,0,0,0,0
20,678.38,967.57,1113.51,1264.86,691.89,872.97,637.84,886.49,0,0,0,0,16.22,16.22,0,0
21,961.54,615.38,424.36,365.38,102.56,102.56,888.46,962.82,102.56,91.03,0,61.54,0,0,0,0
22,1230.36,1378.57,12.5,230.36,171.43,157.14,225,503.57,0,0,0,0,0,0,0,0
23,1482.76,1565.52,762.07,1382.76,351.72,1103.45,1755.17,3841.38,0,213.79,0,0,0,0,51.72,293.1
24,72.29,118.67,88.55,29.12,91.97,30.52,99,141.57,0,0,0.6,0,12.45,12.45,0,0
25,147.17,745.28,325.79,818.87,287.42,185.53,140.25,727.67,0,15.09,0,20.13,0,0,0,5.66
26,95.65,260.54,119.73,175.25,130.1,138.8,193.31,352.17,17.73,0,17.73,0,17.73,5.02,0,0
27,429.41,498.32,147.9,413.45,45.38,189.08,573.11,695.8,0,28.57,0,0,0,0,0,0
28,188.85,290.49,0.98,59.67,7.54,73.11,177.38,378.69,0.98,0.98,0.98,0,0,0,0.98,0
29,43.13,86.61,38.27,22.16,11.97,24.29,31.64,18.13,0.47,0.47,0.77,0,0,0,0,0
30,188.75,154.58,153.75,189.17,171.67,176.25,155,269.17,0,47.92,0,0,0,0,0,0
31,1990,2155,1880,140,1615,1430,140,2670,0,140,0,0,0,0,0,0
32,9800,5900,4025,4075,200,1475,3925,14175,0,200,0,0,0,0,0,0
33,6275,12337.5,4562.5,0,1212.5,1212.5,425,13050,0,0,0,0,0,0,0,350
34,877.5,777.5,341.25,405,156.25,248.75,608.75,830,0,33.75,0,0,0,0,0,0
35,411.42,309.13,114.16,65.3,50.68,33.79,77.17,405.02,8.68,16.89,0,0,0,0,0,0
36,188.67,138.22,180.22,149.33,106.89,104.67,88.67,253.33,0.22,6.22,0.22,0.22,0,2,0.22,0.22
37,2480,5493.33,2366.67,660,1700,2893.33,2246.67,7026.67,0,0,0,0,0,0,0,0
38,1372.41,486.21,785.34,20.69,540.52,761.21,62.07,1098.28,0,0,0,0,0,8.62,0,68.97
39,14783.33,8783.33,5483.33,10150,5233.33,2850,7216.67,11933.33,0,0,0,0,0,0,0,0
40,35000,325000,135000,0,0,158000,0,0,0,0,0,0,0,0,0,0
41,1322.22,837.04,11.11,81.48,100,333.33,81.48,511.11,0,0,0,0,0,0,0,0
42,337.14,1582.86,351.43,231.43,508.57,502.86,248.57,734.29,0,77.14,0,0,0,0,0,0
43,1970.83,1479.17,766.67,200,816.67,1579.17,787.5,2437.5,0,0,0,0,33.33,29.17,0,191.67
44,1070.91,1034.55,850.91,45.45,850.91,254.55,54.55,1860,0,12.73,12.73,0,0,0,0,12.73
45,811000,737000,219000,0,243000,114000,0,974000,0,0,0,0,0,0,0,0
46,445000,566000,91000,293000,102000,290000,293000,943000,0,18000,0,0,0,0,0,0
47,1651.32,1802.63,926.32,0,897.37,777.63,138.16,2235.53,0,6.58,0,0,0,0,0,0
48,726.79,2525,2198.21,2635.71,235.71,519.64,2635.71,1458.93,0,0,0,53.57,0,0,0,0
49,620.83,986.11,22.22,270.83,609.72,858.33,270.83,2098.61,0,0,0,0,0,0,0,0
50,400000,1127000,0,76000,0,197000,120000,269000,0,0,0,0,0,0,0,0
51,2480,3540,806.67,600,780,46.67,573.33,2746.67,0,0,0,0,0,0,0,0
52,514.29,361.9,190.48,66.67,190.48,400,66.67,680.95,0,0,0,0,0,0,0,0
53,338000,331000,168000,112000,30000,108000,114000,173000,0,0,0,0,0,0,0,0
54,8000,81000,0,9000,67000,0,9000,72000,0,0,0,0,0,0,0,0
55,232000,163000,64000,0,72000,96000,0,168000,0,0,0,0,0,0,0,0
56,1936.67,7520,780,143.33,1853.33,2156.67,463.33,2990,0,73.33,0,0,0,0,0,0
57,8450,6750,2010,230,1870,1870,230,4850,0,60,0,0,0,0,0,180
58,357.89,163.16,144.36,144.36,81.2,341.35,144.36,472.93,0,0,0,0,0,0,0,0
59,3048.15,1100,266.67,100,544.44,1637.04,833.33,3214.81,0,33.33,0,0,0,0,0,0
60,84.62,2336.54,175,175,257.69,257.69,175,2086.54,0,40.38,0,0,0,0,0,0
61,913.04,2067.39,447.83,293.48,369.57,1345.65,439.13,1456.52,0,52.17,0,0,0,0,82.61,0
62,1043.4,462.26,126.42,2.83,133.02,365.09,507.55,1146.23,70.75,0,0,0,0,0,0,0
63,556.52,944.57,100,98.91,208.7,805.43,98.91,644.57,0,20.65,0,0,0,0,0,0
64,517.69,841.54,120,305.38,0,167.69,305.38,804.62,0,0,0,0,0,0,0,0
65,482.24,117.76,143.42,463.16,200.66,316.45,55.26,672.37,23.68,0,0,54.61,23.68,5.26,31.58,0
66,1221.23,1467.12,81.51,153.42,98.63,47.26,153.42,755.48,0,0,0,0,0,0,0,8.22
67,780.87,300,29.57,172.17,199.13,572.17,60.87,286.09,0,0,0,0,0,5.22,0,0
68,500.65,488.17,91.83,225.59,203.66,130.32,291.61,580.22,0,0,0,0,0,0,0,0
69,316.16,612.12,24.24,38.38,65.66,96.97,75.76,468.69,0,31.31,0,0,0,0,0,0
