Instance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,16,10,9,13,11,12,13,15,1,1,1,1,8,1,1,7
2,16,13,15,10,11,14,9,12,1,1,1,1,1,1,1,1
3,15,16,13,1,1,1,1,14,1,1,1,1,1,1,1,1
4,16,15,11,13,8,14,12,10,1,9,1,1,1,1,1,1
5,16,14,1,13,12,1,1,15,1,1,1,1,1,1,1,1
6,14,11,13,9,12,16,10,15,1,1,1,1,1,1,8,1
7,15,16,13,9,11,12,9,14,1,1,1,1,1,1,1,1
8,14,11,13,15,9,12,10,16,8,1,1,1,1,1,1,7
9,15,16,10,12,8,11,13,14,1,8,1,1,1,1,1,1
10,14,16,9,13,10,11,12,15,7,1,1,1,1,1,8,1
11,15,13,11,1,11,14,1,16,1,1,1,1,1,1,1,1
12,15,13,1,12,10,14,11,16,1,1,1,1,1,1,1,1
13,15,16,13,1,12,1,1,14,1,1,1,1,1,1,1,1
14,13,15,11,10,12,14,9,16,1,8,1,1,1,1,6,7
15,16,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,14,15,12,9,11,10,13,16,1,8,1,6,1,6,1,1
17,14,16,13,10,12,11,9,15,1,1,1,1,1,1,1,1
18,14,16,11,1,13,12,10,15,1,9,1,1,1,1,1,1
19,16,14,10,9,12,13,11,15,1,8,1,1,1,1,1,1
20,10,14,15,16,11,12,9,13,1,1,1,1,7,7,1,1
21,15,13,12,11,8,8,14,16,8,7,1,6,1,1,1,1
22,15,16,9,13,11,10,12,14,1,1,1,1,1,1,1,1
23,13,14,10,12,9,11,15,16,1,7,1,1,1,1,6,8
24,11,15,12,9,13,10,14,16,1,1,6,1,7,7,1,1
25,10,15,13,16,12,11,9,14,1,7,1,8,1,1,1,6
26,9,15,10,13,11,12,14,16,6,1,6,1,6,5,1,1
27,13,14,10,12,9,11,15,16,1,8,1,1,1,1,1,1
28,14,15,5,11,10,12,13,16,5,5,5,1,1,1,5,1
29,15,16,14,11,9,12,13,10,6,6,8,1,1,1,1,1
30,14,10,9,15,12,13,11,16,1,8,1,1,1,1,1,1
31,14,15,13,8,12,11,8,16,1,8,1,1,1,1,1,1
32,15,14,12,13,8,10,11,16,1,8,1,1,1,1,1,1
33,14,15,13,1,11,11,10,16,1,1,1,1,1,1,1,9
34,16,14,11,12,9,10,13,15,1,8,1,1,1,1,1,1
35,16,14,13,11,10,9,12,15,7,8,1,1,1,1,1,1
36,15,12,14,13,11,10,9,16,2,8,2,2,1,7,2,2
37,13,15,12,9,10,14,11,16,1,1,1,1,1,1,1,1
38,16,11,14,8,12,13,9,15,1,1,1,1,1,7,1,10
39,16,13,11,14,10,9,12,15,1,1,1,1,1,1,1,1
