TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
62,377,8,50,3,6,448,323,7,4,58,41
30,243,5,36,1,5,549,386,9,5,88,64
31,31,4,4,2,2,716,716,8,8,114,114
102,149,16,19,5,5,329,238,5,5,53,38
0,20,0,4,0,1,691,611,10,9,94,82
16,78,3,9,2,5,363,311,8,5,50,41
65,324,6,29,2,3,474,513,8,7,51,62
132,268,16,25,4,4,124,290,6,6,17,45
182,228,18,22,3,4,662,725,7,6,72,80
0,114,0,14,0,2,724,1073,10,8,76,111
0,5,0,1,0,1,1282,1336,10,9,200,211
0,20,0,4,0,1,1470,1250,10,9,207,179
0,36,0,6,0,2,1136,803,10,8,165,117
22,144,4,24,2,4,750,620,8,6,109,97
0,0,0,0,0,0,1057,1057,10,10,193,193
69,301,6,28,3,3,949,1538,7,7,101,152
0,120,0,10,0,1,1318,1487,10,9,151,168
0,194,0,19,0,3,610,791,10,7,68,101
16,160,4,16,1,3,496,532,9,7,65,73
43,293,6,36,2,6,384,419,8,4,64,77
78,158,17,30,4,5,256,308,6,5,37,48
56,152,7,20,1,4,428,489,9,6,59,68
29,131,5,21,2,2,418,417,8,8,81,77
560,956,75,131,6,8,116,108,4,2,26,22
159,616,25,96,6,7,80,145,4,3,12,29
352,688,61,60,7,4,137,439,3,6,17,76
119,173,23,32,5,4,408,426,5,6,68,71
305,328,49,46,6,7,357,180,4,3,45,24
1688,1890,141,170,8,7,151,356,2,3,21,41
240,652,36,64,4,5,388,475,6,5,32,51
20,343,5,47,1,4,498,493,9,6,77,90
4,12,1,3,1,1,858,1062,9,9,119,140
8,105,1,12,1,2,342,520,9,8,51,76
80,205,10,36,1,4,409,364,9,6,65,58
219,330,34,49,4,6,256,286,6,4,40,51
450,931,54,105,4,6,533,656,6,4,57,66
15,270,3,32,1,5,639,332,9,5,104,74
116,743,11,66,3,3,620,656,7,7,76,69
6,320,1,38,1,2,660,1112,9,8,76,121
0,0,0,0,0,0,1668,1668,10,10,203,203
54,108,9,18,2,3,329,244,8,7,62,50
35,213,6,32,2,5,503,291,8,5,81,53
32,220,4,28,1,5,443,455,9,5,83,81
55,523,7,68,2,6,603,159,8,4,84,28
0,243,0,37,0,4,782,381,10,6,105,60
0,102,0,10,0,2,652,561,10,8,108,92
76,758,13,92,3,6,361,72,7,4,55,17
56,188,8,21,2,4,547,596,8,6,76,80
72,511,12,50,2,4,536,332,8,6,57,44
0,0,0,0,0,0,950,950,10,10,94,94
15,132,2,17,2,3,495,494,8,7,93,92
42,122,6,17,1,3,1103,1154,9,7,154,162
0,30,0,5,0,1,517,547,10,9,87,92
0,67,0,8,0,2,1387,879,10,8,240,159
0,72,0,9,0,1,832,1140,10,9,127,170
30,586,3,48,1,3,748,1350,9,7,84,144
10,197,2,19,1,2,901,1309,9,8,112,148
133,241,13,19,2,2,727,682,8,8,99,93
27,174,3,17,2,3,1054,1166,8,7,127,136
52,186,4,24,1,2,1632,812,9,8,174,108
46,216,6,39,2,4,445,403,8,6,67,58
106,247,16,35,4,6,267,190,6,4,41,32
92,284,17,53,4,6,271,349,6,4,51,66
130,130,18,18,2,2,413,413,8,8,64,64
188,457,42,74,4,8,203,82,6,2,30,12
146,290,20,29,4,4,527,547,6,6,64,66
115,344,12,41,4,3,257,489,6,7,45,67
465,1412,43,131,4,7,395,235,6,3,57,29
99,164,11,21,1,2,460,758,9,8,78,102
191,363,29,37,7,4,68,310,3,6,11,42
69,216,8,25,2,3,758,955,8,7,132,161
4,394,1,79,1,4,504,677,9,6,79,109
0,45,0,7,0,3,812,442,10,7,112,66
108,450,13,51,2,4,681,578,8,6,117,96
48,548,8,74,1,5,971,504,9,5,141,79
501,1765,46,161,6,8,576,138,4,2,57,15
131,250,17,34,2,3,909,860,8,7,104,92
0,174,0,14,0,2,1293,1139,10,8,142,121
84,197,11,28,2,3,725,1117,8,7,92,127
0,40,0,4,0,1,1379,1432,10,9,155,159
139,439,22,58,5,6,372,369,7,6,43,47
63,197,9,28,3,4,903,704,9,8,159,127
29,115,4,17,2,3,499,609,10,9,67,79
0,126,0,14,0,1,746,824,12,11,104,115
55,247,7,33,4,6,296,208,8,6,54,34
100,408,9,36,3,4,472,480,9,8,57,65
167,204,24,23,5,5,527,482,7,7,67,57
890,1243,83,114,6,8,378,397,6,4,42,43
0,375,0,33,0,6,791,602,12,6,86,68
45,542,6,58,3,3,623,870,9,9,74,110
0,189,0,27,0,3,613,778,12,9,93,114
0,81,0,13,0,4,1018,955,12,8,176,163
0,84,0,14,0,1,1392,1476,12,11,233,247
0,41,0,7,0,2,717,1186,12,10,117,196
0,138,0,27,0,5,864,846,12,7,128,141
24,354,6,42,1,5,939,671,11,7,106,82
55,429,8,52,2,5,412,584,10,7,54,91
12,12,2,2,1,1,1652,1652,11,11,181,181
0,266,0,22,0,4,1418,1356,12,8,143,137
78,449,6,38,2,3,1082,1148,10,9,137,136
334,920,55,144,7,9,165,145,5,3,29,29
115,380,14,68,4,5,263,290,8,7,44,51
120,295,23,45,4,4,373,430,8,8,65,81
353,633,66,98,6,7,449,374,6,5,60,54
382,810,60,108,7,7,187,279,5,5,27,49
634,956,97,137,8,10,118,223,4,2,14,33
232,862,21,81,3,7,705,484,9,5,94,76
459,1023,53,89,4,5,561,681,8,7,59,78
330,956,43,103,3,7,472,482,9,5,43,50
570,1407,76,154,5,8,517,269,7,4,53,28
21,377,3,48,1,4,738,771,11,8,130,133
139,1108,22,156,5,7,720,594,7,5,98,84
16,103,4,18,1,5,1123,632,11,7,144,84
0,23,0,4,0,3,1016,660,12,9,183,128
78,562,10,84,3,6,589,416,9,6,103,82
56,586,9,55,2,3,1094,992,10,9,105,133
616,1241,59,113,4,4,1066,1188,8,8,164,175
0,242,0,26,0,2,1493,1704,12,10,188,201
21,27,2,3,2,3,786,1159,10,9,108,131
0,256,0,41,0,5,900,668,12,7,118,100
65,139,10,25,3,3,540,624,9,9,81,90
16,185,2,28,2,4,351,459,10,8,53,71
0,78,0,14,0,3,345,642,12,9,60,123
71,980,11,140,4,9,727,156,8,3,107,34
0,317,0,40,0,7,707,254,12,5,101,46
76,652,7,67,3,6,882,351,9,6,86,39
132,1086,11,101,2,7,1097,540,10,5,108,60
77,394,7,48,1,5,773,415,11,7,91,59
0,444,0,39,0,5,589,476,12,7,60,66
143,1123,11,106,2,9,587,171,10,3,80,33
0,24,0,4,0,1,992,1109,12,11,147,177
0,6,0,1,0,1,1160,1290,12,11,189,202
114,483,21,67,5,7,361,522,7,5,67,105
14,170,2,30,1,4,843,866,11,8,150,153
34,530,6,71,2,6,811,377,10,6,122,69
0,0,0,0,0,0,1829,1829,12,12,213,213
39,632,8,66,2,5,1046,776,10,7,119,94
0,29,0,5,0,2,1721,1950,12,10,233,263
8,408,1,39,1,4,717,1215,11,8,98,175
17,57,4,12,2,3,1380,1738,10,9,165,196
227,768,37,95,5,6,541,326,7,6,80,63
337,457,55,64,6,6,464,501,6,6,66,69
157,292,20,37,5,6,488,361,7,6,75,59
202,383,29,58,5,7,190,180,7,5,34,33
207,933,32,122,5,8,491,273,7,4,72,44
213,771,27,63,3,4,606,658,9,8,82,95
467,728,44,74,6,7,341,438,6,5,37,53
229,1813,50,230,5,11,429,70,7,1,54,14
175,749,20,84,4,7,266,232,8,5,40,37
295,751,36,73,6,8,662,571,6,4,66,59
210,473,30,70,4,8,458,316,8,4,77,57
0,0,0,0,0,0,543,543,12,12,81,81
60,571,8,75,2,5,763,521,10,7,122,96
0,184,0,25,0,4,1017,896,12,8,157,150
45,119,9,22,1,4,977,1227,11,8,131,172
0,93,0,9,0,2,1356,1451,12,10,173,188
70,293,10,35,2,3,1279,1115,10,9,140,134
78,407,15,66,2,5,1162,735,10,7,142,96
59,798,8,83,3,6,872,757,9,6,95,83
558,1146,51,108,7,7,429,645,5,5,48,73
