TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
30,381,5,50,3,6,474,212,7,4,56,30
30,491,5,78,1,5,572,385,9,5,92,65
31,31,4,4,2,2,716,716,8,8,114,114
102,389,16,51,5,4,329,268,5,6,53,40
0,0,0,0,0,0,691,691,10,10,94,94
16,432,3,54,2,7,249,252,8,3,41,37
65,342,6,31,2,3,474,648,8,7,51,73
132,447,16,50,4,4,124,284,6,6,17,37
182,366,18,35,3,4,662,527,7,6,72,59
0,225,0,23,0,4,724,527,10,6,76,55
0,70,0,14,0,1,952,1017,10,9,149,154
0,146,0,22,0,3,1160,1097,10,7,163,152
0,0,0,0,0,0,1067,1067,10,10,156,156
22,461,4,72,2,5,750,279,8,5,109,45
0,0,0,0,0,0,1036,1036,10,10,174,174
89,280,8,29,3,4,1163,1414,7,6,117,136
0,111,0,11,0,2,1326,1440,10,8,155,165
0,153,0,15,0,2,610,834,10,8,68,106
16,164,4,17,1,3,496,738,9,7,65,94
43,360,6,31,2,4,384,359,8,6,64,69
78,158,17,30,4,5,256,308,6,5,37,48
56,144,7,19,1,4,428,511,9,6,59,66
29,349,5,57,2,4,418,363,8,6,81,54
560,650,75,87,6,5,116,132,4,5,26,28
159,454,25,74,6,8,80,95,4,2,12,17
314,714,52,62,7,4,153,439,3,6,18,76
119,344,23,56,5,8,408,152,5,2,68,29
305,528,49,57,6,3,357,508,4,7,45,70
1688,2098,141,192,8,7,151,404,2,3,21,47
240,663,36,64,4,5,388,484,6,5,32,52
20,306,5,44,1,2,486,528,9,8,75,95
4,63,1,12,1,3,793,1180,9,7,104,154
8,105,1,12,1,2,342,520,9,8,51,76
80,279,10,41,1,5,409,451,9,5,65,69
219,293,34,43,4,6,256,232,6,4,40,38
459,921,65,99,6,4,313,705,4,6,31,78
15,449,3,54,1,5,639,480,9,5,104,91
126,999,12,98,4,4,538,981,6,6,63,107
6,177,1,21,1,3,660,831,9,7,76,91
0,158,0,15,0,2,1423,1099,10,8,178,165
54,234,9,39,2,7,329,96,8,3,62,19
35,211,6,34,2,5,503,365,8,5,81,68
31,403,4,53,2,5,326,456,8,5,62,79
55,195,7,25,2,5,603,411,8,5,84,61
0,114,0,19,0,1,752,730,10,9,107,100
0,290,0,28,0,3,652,430,10,7,108,71
76,667,13,85,3,5,386,105,7,5,58,20
56,347,8,34,2,3,547,593,8,7,76,79
72,690,12,70,2,6,603,192,8,4,65,22
0,197,0,16,0,2,1194,1005,10,8,118,107
15,22,2,3,2,3,495,486,8,7,93,93
42,210,6,30,1,3,878,1032,9,7,132,139
0,108,0,17,0,2,556,452,10,8,93,78
0,0,0,0,0,0,909,909,10,10,170,170
0,96,0,12,0,2,732,1049,10,8,110,156
30,677,3,55,1,3,748,1521,9,7,84,162
10,197,2,19,1,2,901,1309,9,8,112,148
133,587,13,49,2,2,727,859,8,8,99,110
27,469,3,52,2,5,927,1132,8,5,115,131
52,186,4,24,1,2,1304,864,9,8,146,112
46,665,6,105,2,7,445,132,8,3,67,30
106,493,16,80,4,6,267,159,6,4,41,24
92,833,17,164,4,9,271,70,6,1,51,14
130,348,18,45,2,5,413,145,8,5,64,30
160,633,32,105,3,7,323,176,7,3,49,28
146,215,20,25,4,4,527,607,6,6,64,72
121,773,13,81,2,7,365,157,8,3,62,34
465,1071,43,95,4,5,395,279,6,5,57,33
99,195,11,23,1,2,591,524,9,8,85,64
191,363,29,37,7,4,68,310,3,6,11,42
69,261,8,31,2,3,758,1136,8,7,132,193
4,356,1,69,1,3,504,665,9,7,79,106
4,17,1,3,1,2,761,564,9,8,102,86
108,484,13,55,2,4,681,555,8,6,117,96
