TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
44,884,6,120,3,7,430,186,7,3,56,22
30,398,5,63,1,7,540,148,9,3,88,22
31,326,4,45,2,4,688,612,8,6,102,98
102,211,16,34,5,5,329,299,5,5,53,47
0,249,0,41,0,6,615,506,10,4,83,61
16,246,3,41,2,6,255,478,8,4,41,63
65,842,6,74,2,6,474,554,8,4,51,50
137,1027,20,126,3,7,156,92,7,3,21,15
182,1163,18,114,3,6,662,451,7,4,72,46
0,1144,0,120,0,7,724,500,10,3,76,40
0,268,0,51,0,4,975,760,10,6,153,115
0,403,0,60,0,5,1216,651,10,5,169,88
0,254,0,46,0,3,1066,473,10,7,156,69
34,594,7,104,2,7,642,198,8,3,93,30
0,0,0,0,0,0,757,757,10,10,134,134
69,984,6,89,3,5,1205,1034,7,5,121,102
0,368,0,33,0,4,1333,435,10,6,152,59
0,593,0,52,0,3,663,715,10,7,77,95
16,594,4,60,1,5,496,313,9,5,65,48
37,365,3,37,2,4,416,514,8,6,66,76
78,829,17,150,4,8,256,26,6,2,37,5
56,338,7,49,1,4,428,465,9,6,59,54
114,1143,21,192,4,8,404,192,6,2,71,33
498,1203,71,172,7,8,192,167,3,2,30,35
168,1316,28,196,6,8,157,70,4,2,19,10
299,1352,52,136,6,7,153,138,4,3,18,31
119,947,23,157,5,6,408,200,5,4,68,24
305,1460,49,152,6,7,357,207,4,3,45,31
1688,1994,141,183,8,7,151,362,2,3,21,42
240,886,36,105,4,7,388,191,6,3,32,23
20,554,5,85,1,5,486,795,9,5,75,117
4,571,1,83,1,6,631,405,9,4,85,62
36,1052,5,150,3,6,332,316,7,4,45,51
80,744,10,119,1,7,409,119,9,3,65,21
219,1106,34,160,4,7,256,223,6,3,40,33
451,1590,56,169,7,8,243,157,3,2,24,17
15,1069,3,126,1,7,639,142,9,3,104,33
196,1390,19,128,4,6,792,964,6,4,85,104
6,722,1,112,1,8,660,380,9,2,76,36
0,0,0,0,0,0,894,894,10,10,129,129
54,330,9,57,2,5,329,192,8,5,62,33
35,292,6,44,2,5,503,228,8,5,81,46
70,609,9,80,4,6,434,137,6,4,78,29
62,1078,8,142,2,7,490,234,8,3,67,34
0,974,0,149,0,7,591,139,10,3,93,26
0,943,0,100,0,7,652,209,10,3,108,38
76,1775,13,210,3,7,361,136,7,3,55,27
56,873,8,98,2,5,547,450,8,5,76,66
72,1583,12,185,2,8,603,98,8,2,65,15
0,269,0,23,0,3,906,665,10,7,90,73
15,427,2,69,2,7,495,210,8,3,93,35
