TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
30,396,5,51,3,8,491,24,7,2,57,4
30,62,5,9,1,3,549,290,9,7,88,50
31,31,4,4,2,2,452,452,8,8,74,74
102,373,16,56,5,7,329,59,5,3,53,11
0,98,0,18,0,5,629,106,10,5,86,13
16,32,3,5,2,4,381,232,8,6,50,31
65,206,6,19,2,5,507,219,8,5,53,23
132,816,16,110,4,9,124,44,6,1,17,11
182,433,18,41,3,6,662,266,7,4,72,29
0,371,0,32,0,5,724,136,10,5,76,15
0,0,0,0,0,0,1039,1039,10,10,162,162
0,104,0,13,0,1,1068,301,10,9,145,42
0,0,0,0,0,0,641,641,10,10,99,99
22,83,4,13,2,5,750,207,8,5,109,33
0,0,0,0,0,0,811,811,10,10,125,125
89,120,8,13,2,3,938,774,8,7,98,83
0,108,0,10,0,4,1399,321,10,6,160,48
0,0,0,0,0,0,511,511,10,10,74,74
16,55,4,5,1,1,496,455,9,9,65,66
37,505,3,57,2,7,416,60,8,3,66,9
126,363,29,61,4,5,298,24,6,5,44,6
56,185,7,23,1,6,428,192,9,4,59,36
29,430,5,65,2,7,418,129,8,3,81,25
498,643,71,81,7,6,192,116,3,4,30,26
191,1461,31,219,5,9,146,0,5,1,22,0
299,823,52,132,6,7,153,33,4,3,18,6
119,611,23,101,5,7,408,52,5,3,68,10
305,487,49,61,6,7,357,26,4,3,45,5
1688,2062,141,179,8,9,151,203,2,1,21,29
240,694,36,70,4,8,388,28,6,2,32,3
20,48,5,6,1,3,486,229,9,7,75,36
4,167,1,28,1,5,894,290,9,5,118,45
8,8,1,1,1,1,342,342,9,9,51,51
80,404,10,57,1,8,409,12,9,2,65,2
219,362,34,48,4,7,256,32,6,3,40,6
451,1122,56,114,7,8,243,45,3,2,24,9
15,114,3,18,1,3,639,239,9,7,104,42
116,140,11,13,3,5,744,308,7,5,86,44
6,615,1,71,1,9,660,27,9,1,76,3
0,0,0,0,0,0,1202,1202,10,10,146,146
54,98,9,17,2,5,329,138,8,5,62,29
35,116,6,21,2,3,547,349,8,7,87,52
24,72,3,9,1,4,310,196,9,6,61,43
55,80,7,10,2,3,603,377,8,7,84,58
0,0,0,0,0,0,559,559,10,10,85,85
0,293,0,27,0,4,652,289,10,6,108,47
76,76,13,13,3,3,361,361,7,7,55,55
86,1532,14,155,2,9,609,21,8,1,81,3
72,267,12,33,2,5,603,239,8,5,65,37
0,76,0,6,0,2,1295,600,10,8,128,67
15,105,2,16,2,4,469,197,8,6,92,39
42,70,6,10,1,1,916,568,9,9,139,88
0,112,0,14,0,4,482,245,10,6,83,49
0,9,0,1,0,1,952,685,10,9,173,121
0,0,0,0,0,0,516,516,10,10,80,80
30,73,3,7,1,2,786,548,9,8,88,69
10,33,2,4,1,3,891,308,9,7,110,30
133,325,13,26,2,3,727,426,8,7,99,66
27,54,3,6,2,2,1054,984,8,8,127,118
52,143,4,17,1,2,1518,801,9,8,163,103
46,181,6,32,2,6,445,119,8,4,67,16
106,109,16,16,4,4,267,237,6,6,41,41
92,183,17,28,4,7,271,32,6,3,51,8
130,527,18,63,2,6,413,154,8,4,64,33
