TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
30,335,5,45,3,4,474,437,7,6,56,51
30,448,5,70,1,5,549,324,9,5,88,51
31,513,4,71,2,5,452,443,8,5,74,61
151,510,22,71,4,6,403,219,6,4,59,32
0,176,0,33,0,5,841,438,10,5,114,51
16,71,3,13,2,3,255,413,8,7,41,70
65,1088,6,109,2,6,474,524,8,4,51,51
132,419,16,66,4,6,124,78,6,4,17,16
228,1636,22,164,4,7,725,486,6,3,80,51
0,1160,0,132,0,6,724,540,10,4,76,48
0,34,0,6,0,2,975,947,10,8,153,146
0,144,0,22,0,2,1078,1228,10,8,149,171
0,346,0,56,0,4,872,632,10,6,127,91
40,466,9,85,2,6,484,252,8,4,72,37
0,30,0,5,0,2,734,586,10,8,130,101
106,705,11,61,3,4,1650,1161,7,6,162,113
0,468,0,41,0,3,1318,409,10,7,151,43
4,645,1,72,1,4,571,920,9,6,63,107
20,550,2,55,1,5,830,302,9,5,101,48
37,395,3,41,2,4,416,524,8,6,66,82
149,558,30,112,3,6,125,72,7,4,24,12
56,828,7,114,1,8,428,108,9,2,59,12
91,483,17,71,3,6,336,283,7,4,49,55
498,1089,71,156,7,8,192,160,3,2,30,34
183,1344,33,185,4,8,222,71,6,2,28,11
299,1078,52,120,6,8,153,124,4,2,18,29
153,712,24,132,5,6,362,170,5,4,65,19
308,1191,51,158,6,7,203,184,4,3,27,26
1696,3150,146,286,8,8,346,231,2,2,40,27
355,611,45,69,5,5,400,233,5,5,37,33
48,451,12,71,2,5,582,751,8,5,89,108
12,240,3,42,1,2,615,613,9,8,86,87
8,995,1,139,1,6,342,576,9,4,51,79
107,702,13,113,2,6,351,216,8,4,59,32
256,896,35,131,5,6,162,205,5,4,27,29
478,1072,60,114,4,8,687,27,6,2,71,3
15,839,3,122,1,7,639,187,9,3,104,45
116,680,11,66,3,5,744,838,7,5,86,91
6,533,1,76,1,5,660,541,9,5,76,62
0,325,0,33,0,3,1100,994,10,7,152,138
54,506,9,95,2,6,329,90,8,4,62,17
62,589,11,80,3,5,420,187,7,5,62,32
24,379,3,51,1,7,310,140,9,3,61,28
62,624,8,80,2,6,568,334,8,4,81,51
0,737,0,112,0,8,752,160,10,2,107,33
18,566,3,71,1,6,588,268,9,4,68,56
81,1446,14,160,3,7,296,228,7,3,38,34
56,1470,8,155,2,7,547,174,8,3,76,33
72,782,12,105,2,6,536,237,8,4,57,35
0,1127,0,122,0,7,1064,254,10,3,106,24
15,546,2,87,2,4,495,324,8,6,93,50
42,194,6,30,1,2,916,715,9,8,139,110
0,331,0,52,0,5,582,262,10,5,97,42
0,81,0,9,0,1,942,1248,10,9,168,210
0,163,0,23,0,2,1209,622,10,8,178,96
52,2286,5,206,2,6,904,336,8,4,103,35
16,685,2,101,2,6,707,478,8,4,84,41
133,350,13,33,2,3,727,868,8,7,99,105
36,324,4,38,2,4,952,821,8,6,116,84
73,1267,7,127,2,4,1077,1028,8,6,127,117
70,997,10,177,3,7,413,100,7,3,63,16
106,596,16,80,4,5,267,275,6,5,41,35
111,961,21,153,5,8,240,28,5,2,48,7
130,1224,18,173,2,9,413,84,8,1,64,21
152,331,26,61,3,5,337,199,7,5,51,29
146,2288,20,249,4,8,527,366,6,2,64,30
115,460,12,61,4,5,257,627,6,5,45,65
465,2735,43,263,4,8,395,194,6,2,57,22
130,705,15,91,2,6,693,145,8,4,92,27
191,613,29,90,7,6,68,161,3,4,11,14
69,682,8,88,2,5,758,595,8,5,132,106
4,339,1,61,1,7,504,234,9,3,76,34
0,511,0,87,0,6,976,688,10,4,138,82
108,837,13,110,2,5,681,615,8,5,117,101
48,651,8,95,1,4,945,549,9,6,141,79
501,2512,46,227,6,8,576,455,4,2,57,38
186,903,21,95,3,5,1208,773,7,5,138,77
0,349,0,38,0,3,878,883,10,7,85,82
162,1223,27,162,3,5,731,1122,7,5,78,112
0,443,0,53,0,2,1641,1394,10,8,187,164
123,601,17,82,5,6,344,402,7,6,41,46
80,551,10,83,1,6,718,320,11,6,121,50
37,891,5,122,2,8,472,364,10,4,60,46
0,393,0,72,0,6,746,329,12,6,104,43
35,163,5,22,3,4,409,455,9,8,64,72
180,1420,18,154,2,8,526,524,10,4,64,51
249,987,41,116,7,7,218,178,5,5,29,26
974,3110,91,303,8,9,302,400,4,3,36,42
13,1028,1,110,1,8,859,471,11,4,95,47
36,556,4,76,2,8,754,302,10,4,102,32
0,735,0,111,0,6,601,543,12,6,89,78
22,259,4,54,2,5,976,380,10,7,166,62
0,307,0,46,0,3,1374,846,12,9,230,143
0,321,0,47,0,4,849,293,12,8,147,60
4,280,1,62,1,4,1032,860,11,8,159,144
28,440,4,44,2,4,921,658,10,8,102,89
70,1473,6,176,3,9,421,371,9,3,73,50
18,907,3,107,1,6,1505,914,11,6,152,96
26,656,2,64,1,6,1324,790,11,6,138,83
91,1279,7,109,1,6,1084,1041,11,6,138,131
324,1824,59,256,7,10,242,40,5,2,36,6
236,978,38,148,5,9,268,192,7,3,41,45
143,849,25,159,3,7,401,201,9,5,82,31
404,1805,55,258,6,9,545,151,6,3,79,26
392,1268,67,157,5,9,208,122,7,3,42,27
641,1509,90,219,9,10,132,349,3,2,15,46
246,1264,22,143,3,8,625,369,9,4,96,38
590,3295,57,360,5,9,643,260,7,3,59,23
433,2289,56,270,3,9,590,182,9,3,58,18
570,2745,76,296,5,10,517,239,7,2,53,19
36,697,6,116,2,8,706,275,10,4,118,56
100,967,16,145,4,8,795,446,8,4,108,66
16,840,4,142,1,7,1354,754,11,5,180,86
0,300,0,51,0,3,840,974,12,9,145,157
124,565,18,102,5,6,614,375,7,6,111,58
96,1112,12,122,1,6,1256,982,11,6,130,126
595,2510,57,237,4,7,728,451,8,5,118,69
0,324,0,36,0,4,1250,845,12,8,143,124
57,2293,9,260,4,9,1138,844,8,3,121,76
0,1503,0,189,0,7,1529,821,12,5,183,98
65,710,10,110,3,7,548,337,9,5,83,48
73,649,11,96,2,10,535,329,10,2,76,43
0,111,0,20,0,5,607,507,12,7,101,76
71,583,11,86,4,7,421,288,8,5,73,46
0,425,0,58,0,6,699,513,12,6,116,76
120,1134,10,112,3,7,533,755,9,5,55,69
204,2663,17,276,2,9,1399,316,10,3,138,31
77,1867,7,234,1,10,497,297,11,2,58,27
24,1405,3,161,1,9,801,421,11,3,81,43
154,2453,12,228,3,8,513,441,9,4,71,44
0,484,0,68,0,7,667,344,12,5,106,59
8,325,2,58,1,4,1329,534,11,8,204,89
133,737,22,88,6,6,402,252,6,6,74,44
15,148,2,22,2,4,961,760,10,8,171,134
122,648,17,89,3,5,620,553,9,7,87,90
0,219,0,26,0,6,1459,792,12,6,189,101
54,580,11,82,3,6,1415,989,9,6,143,104
8,528,2,66,1,4,1295,1136,11,8,175,141
8,848,1,96,1,4,1236,1039,11,8,159,146
18,674,3,113,1,9,1121,339,11,3,142,45
227,1115,37,191,5,9,541,171,7,3,80,19
337,1199,55,176,6,9,464,266,6,3,66,38
157,1826,20,258,5,8,488,216,7,4,75,29
237,765,35,111,4,7,198,168,8,5,37,32
267,1055,35,143,5,9,401,278,7,3,63,41
330,1885,42,235,4,9,753,359,8,3,81,41
554,1987,59,197,5,8,501,255,7,4,60,37
344,1989,65,283,6,9,438,241,6,3,46,35
245,2946,30,323,6,8,350,175,6,4,46,22
351,979,40,107,5,7,765,181,7,5,74,22
350,1656,48,248,4,7,215,471,8,5,38,82
42,945,9,154,2,6,614,875,10,6,86,114
98,1512,13,216,4,7,1066,348,8,5,169,52
0,956,0,155,0,6,1202,387,12,6,187,68
53,361,10,63,2,5,1002,439,10,7,143,63
14,389,2,63,1,7,1228,644,11,5,150,58
176,1590,24,196,3,9,1343,446,9,3,159,51
136,638,20,102,4,5,1138,430,8,7,127,63
154,1882,17,201,3,9,1003,707,9,3,110,60
590,1953,52,177,7,9,189,471,5,3,23,52
