TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
30,884,5,120,3,7,491,186,7,3,57,22
30,398,5,63,1,7,540,148,9,3,88,22
31,326,4,45,2,4,700,612,8,6,104,98
102,211,16,34,5,5,329,299,5,5,53,47
0,249,0,41,0,6,639,506,10,4,87,61
23,246,4,41,3,6,268,478,7,4,42,63
65,842,6,74,2,6,474,554,8,4,51,50
132,1027,16,126,4,7,124,92,6,3,17,15
182,1163,18,114,3,6,662,451,7,4,72,46
35,1144,7,120,2,7,575,500,8,3,59,40
0,268,0,51,0,4,1115,760,10,6,174,115
0,403,0,60,0,5,998,651,10,5,140,88
0,254,0,46,0,3,819,473,10,7,115,69
28,594,6,104,2,7,656,198,8,3,95,30
0,0,0,0,0,0,757,757,10,10,134,134
69,984,6,89,3,5,1205,1034,7,5,121,102
0,368,0,33,0,4,1318,435,10,6,151,59
0,593,0,52,0,3,595,715,10,7,81,95
16,594,4,60,1,5,496,313,9,5,65,48
37,365,3,37,2,4,416,514,8,6,66,76
78,829,17,150,4,8,256,26,6,2,37,5
56,338,7,49,1,4,428,465,9,6,59,54
44,1143,8,192,2,8,412,192,8,2,80,33
498,1203,71,172,7,8,192,167,3,2,30,35
159,1316,25,196,6,8,80,70,4,2,12,10
299,1352,52,136,6,7,153,138,4,3,18,31
119,947,23,157,5,6,408,200,5,4,68,24
308,1460,51,152,6,7,203,207,4,3,27,31
1688,1994,141,183,8,7,151,362,2,3,21,42
240,886,36,105,4,7,388,191,6,3,32,23
20,554,5,85,1,5,486,795,9,5,75,117
4,571,1,83,1,6,726,405,9,4,100,62
8,1052,1,150,1,6,342,316,9,4,51,51
80,744,10,119,1,7,409,119,9,3,65,21
219,1106,34,160,4,7,256,223,6,3,40,33
451,1590,56,169,7,8,243,157,3,2,24,17
15,1069,3,126,1,7,639,142,9,3,104,33
116,1390,11,128,3,6,744,964,7,4,86,104
6,722,1,112,1,8,660,380,9,2,76,36
0,0,0,0,0,0,894,894,10,10,129,129
54,330,9,57,2,5,329,192,8,5,62,33
35,292,6,44,2,5,547,228,8,5,87,46
24,609,3,80,1,6,310,137,9,4,61,29
55,1078,7,142,2,7,603,234,8,3,84,34
0,974,0,149,0,7,782,139,10,3,105,26
0,943,0,100,0,7,652,209,10,3,108,38
76,1775,13,210,3,7,361,136,7,3,55,27
56,873,8,98,2,5,547,450,8,5,76,66
72,1583,12,185,2,8,603,98,8,2,65,15
0,269,0,23,0,3,1306,665,10,7,130,73
15,427,2,69,2,7,469,210,8,3,92,35
42,328,6,52,1,3,581,336,9,7,96,59
0,173,0,24,0,5,522,372,10,5,87,66
0,72,0,8,0,1,750,784,10,9,123,141
0,168,0,26,0,4,1126,400,10,6,170,65
30,927,3,88,1,4,748,517,9,6,84,70
10,495,2,56,1,3,901,1062,9,7,112,109
133,762,13,69,2,5,727,732,8,5,99,93
27,895,3,102,2,6,1054,439,8,4,127,46
52,1137,4,119,1,6,1642,681,9,4,174,65
84,716,16,118,5,6,160,180,5,4,22,25
106,1321,16,205,4,7,267,207,6,3,41,23
92,685,17,124,4,4,271,193,6,6,51,43
130,1176,18,165,2,7,413,107,8,3,64,23
200,1174,38,195,4,9,221,30,6,1,33,5
146,1249,20,134,4,7,527,83,6,3,64,9
115,444,12,65,4,6,257,476,6,4,45,52
465,3163,43,303,4,9,395,132,6,1,57,12
99,563,11,64,1,5,460,439,9,5,78,63
191,777,29,131,7,6,68,274,3,4,11,28
69,1395,8,180,2,6,758,594,8,4,132,105
4,284,1,52,1,4,504,635,9,6,79,108
0,350,0,49,0,5,826,423,10,5,114,60
108,940,13,128,2,6,681,351,8,4,117,54
48,492,8,75,1,7,945,310,9,3,141,49
501,1868,46,179,6,7,576,531,4,3,57,51
131,637,17,79,2,4,854,1089,8,6,100,117
0,279,0,30,0,4,827,785,10,6,89,71
84,162,11,27,2,3,855,731,8,7,93,78
0,1078,0,115,0,6,1383,1001,10,4,159,107
139,1342,22,187,5,9,472,186,7,3,57,22
80,499,10,75,1,5,453,427,11,7,70,63
29,1232,4,167,2,8,499,371,10,4,67,45
0,554,0,97,0,5,554,250,12,7,77,35
51,460,7,60,4,5,499,378,8,7,77,57
100,1222,9,123,3,8,472,554,9,4,57,50
168,1562,22,164,4,9,527,146,8,3,65,23
982,2699,91,255,7,10,398,260,5,2,44,26
0,542,0,47,0,5,791,599,12,7,86,73
56,1173,6,139,3,8,694,553,9,4,96,73
0,660,0,104,0,5,609,473,12,7,92,69
0,347,0,65,0,7,1058,375,12,5,174,58
0,307,0,46,0,2,1302,995,12,10,218,164
0,311,0,52,0,6,501,497,12,6,81,91
4,192,1,42,1,4,686,689,11,8,124,114
28,993,4,108,2,7,921,248,10,5,102,43
54,439,7,52,3,5,435,402,9,7,73,62
12,665,2,76,1,5,1685,795,11,7,180,89
13,968,1,96,1,7,1086,445,11,5,118,41
78,1006,6,90,2,7,1047,281,10,5,135,39
324,1780,59,267,7,10,242,70,5,2,36,10
111,1134,18,172,5,7,168,239,7,5,24,44
120,1060,23,181,4,9,373,209,8,3,65,41
404,1051,55,142,6,8,545,346,6,4,79,50
400,1508,66,203,6,9,225,80,6,3,34,20
634,1211,97,169,8,8,118,244,4,4,14,37
212,1865,19,187,3,8,1059,342,9,4,139,42
479,3337,46,352,4,10,676,290,8,2,66,26
482,3195,62,371,6,10,378,211,6,2,34,25
570,2365,76,277,5,10,517,199,7,2,53,18
21,950,3,151,1,8,738,180,11,4,130,29
100,1502,16,207,4,8,795,326,8,4,108,42
16,141,4,27,1,4,1064,793,11,8,137,107
0,353,0,60,0,4,892,945,12,8,167,155
101,796,22,137,4,9,490,333,8,3,84,52
28,1216,4,122,1,6,1123,525,11,6,112,77
595,1471,57,130,4,5,728,1296,8,7,118,183
8,944,2,117,1,9,1374,204,11,3,155,37
42,2593,4,262,2,7,1030,632,10,5,118,69
0,627,0,91,0,4,1245,878,12,8,163,119
65,1455,10,228,3,10,593,84,9,2,87,11
16,676,2,108,2,7,351,228,10,5,53,37
0,364,0,68,0,7,562,388,12,5,99,56
71,736,11,115,4,7,398,245,8,5,70,42
0,1171,0,179,0,10,711,269,12,2,113,36
76,987,7,93,3,6,882,841,9,6,86,79
132,2304,11,235,2,9,1097,314,10,3,108,31
77,1281,7,152,1,9,748,513,11,3,93,51
6,1876,1,219,1,10,770,6,11,2,79,1
52,2358,4,247,1,9,778,375,11,3,91,36
0,230,0,39,0,4,965,522,12,8,145,99
0,393,0,77,0,5,1165,645,12,7,178,99
125,1076,20,134,6,7,236,284,6,5,46,54
35,911,5,144,1,8,752,391,11,4,129,77
34,790,6,106,2,6,779,359,10,6,118,66
0,132,0,20,0,4,1507,1417,12,8,181,169
48,1253,11,164,2,8,928,319,10,4,91,39
0,553,0,68,0,5,1526,1020,12,7,211,146
8,1262,1,133,1,6,898,713,11,6,119,99
18,470,3,79,1,8,1046,195,11,4,123,23
220,1032,32,148,5,8,613,189,7,4,85,34
337,1563,55,246,6,10,464,51,6,2,66,7
173,1755,24,232,6,9,276,243,6,3,38,31
282,1748,48,267,5,11,158,8,7,1,26,2
238,1036,34,134,4,8,419,203,8,4,65,36
213,1227,27,135,3,6,606,271,9,6,82,32
446,3500,42,338,7,10,409,189,5,2,49,27
183,2400,40,348,4,10,359,245,8,2,46,32
175,1571,20,150,4,7,266,325,8,5,40,51
307,1209,37,130,5,9,687,165,7,3,68,14
210,1770,30,257,4,7,458,449,8,5,77,70
0,1618,0,264,0,9,1134,309,12,3,149,40
60,613,8,88,2,5,763,822,10,7,122,130
0,229,0,31,0,4,1083,768,12,8,167,123
53,497,10,81,2,5,949,583,10,7,130,80
14,1286,2,144,1,8,1549,391,11,4,189,37
140,1799,24,204,3,6,1221,739,9,6,138,99
69,952,12,131,2,6,1036,484,10,6,119,64
82,1260,10,136,2,7,917,1390,10,5,104,123
558,2202,51,213,7,10,429,378,5,2,48,42
