TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
30,1070,5,153,3,8,474,117,7,2,56,13
30,627,5,107,1,6,572,348,9,4,92,55
31,437,4,65,2,4,494,398,8,6,78,52
102,572,16,96,5,6,329,299,5,4,53,35
0,375,0,66,0,7,639,472,10,3,87,54
16,167,3,33,2,3,255,685,8,7,41,78
65,905,6,89,2,4,474,770,8,6,51,76
140,641,17,109,4,8,135,216,6,2,18,22
182,1475,18,147,3,8,662,176,7,2,72,15
7,791,1,84,1,8,957,520,9,2,99,40
0,155,0,33,0,3,850,954,10,7,139,134
0,293,0,44,0,5,998,697,10,5,144,83
0,336,0,58,0,5,819,740,10,5,115,95
22,396,4,75,2,6,750,242,8,4,109,36
0,36,0,9,0,1,901,580,10,9,131,75
69,536,6,57,3,3,1205,1618,7,7,121,155
0,268,0,28,0,4,1255,419,10,6,142,55
0,363,0,58,0,4,511,844,10,6,74,92
16,770,4,77,1,5,496,366,9,5,65,38
37,288,3,38,2,4,416,337,8,6,66,49
158,828,30,175,5,7,308,213,5,3,48,26
56,745,7,115,1,5,428,583,9,5,59,65
29,459,5,87,2,6,418,318,8,4,81,39
498,858,71,126,7,6,192,238,3,4,30,33
159,393,25,70,6,6,80,257,4,4,12,33
352,585,61,103,7,7,137,190,3,3,17,22
119,630,23,134,5,7,408,244,5,3,68,26
308,881,51,149,6,7,203,555,4,3,27,55
1696,2416,146,245,8,7,346,411,2,3,40,45
240,693,36,90,4,7,388,534,6,3,32,48
20,418,5,75,1,5,498,780,9,5,77,105
4,396,1,72,1,4,631,660,9,6,85,83
8,510,1,86,1,5,342,458,9,5,51,59
80,782,10,139,1,8,409,200,9,2,65,24
238,1120,35,182,5,8,173,273,5,2,28,32
451,1299,56,181,7,7,243,236,3,3,24,22
15,387,3,72,1,5,639,336,9,5,104,43
116,1708,11,167,3,7,620,842,7,3,76,86
6,893,1,145,1,7,660,668,9,3,76,69
0,35,0,6,0,2,1241,1341,10,8,155,150
54,768,9,150,2,8,329,70,8,2,62,10
35,153,6,29,2,4,503,464,8,6,81,63
24,497,3,69,1,7,310,128,9,3,61,26
55,644,7,87,2,5,603,333,8,5,84,45
0,811,0,139,0,6,752,267,10,4,107,30
0,445,0,67,0,5,652,346,10,5,108,46
76,1331,13,169,3,7,386,479,7,3,58,49
56,463,8,64,2,4,547,460,8,6,76,61
72,519,12,76,2,4,536,555,8,6,57,60
0,400,0,43,0,5,822,696,10,5,90,62
15,387,2,67,2,5,469,304,8,5,92,49
42,258,6,45,1,4,1103,803,9,6,154,100
0,338,0,58,0,5,536,415,10,5,90,63
0,8,0,2,0,1,939,780,10,9,150,121
0,232,0,41,0,6,834,467,10,4,119,64
30,611,3,56,1,3,748,841,9,7,84,94
10,855,2,112,1,6,901,874,9,4,112,78
133,609,13,71,2,3,727,873,8,7,99,105
27,850,3,121,2,5,990,507,8,5,120,56
52,96,4,12,1,3,1518,1763,9,7,163,190
46,466,6,93,2,7,445,513,8,3,67,62
181,1212,24,208,4,7,309,270,6,3,49,30
92,604,17,119,4,5,271,112,6,5,51,24
