TWT,greedy twt,TT,greedy TT,tardy jobs,greed tardy jobs,Total weighted earliness,Total weighted earliness greedy,number of early jobs,number of early jobs greedy,total earliness,total earliness greedy
30,105,5,14,3,4,491,465,7,6,57,57
30,555,5,80,1,5,572,240,9,5,92,47
31,40,4,5,2,3,719,758,8,7,115,118
102,252,16,31,5,6,329,289,5,4,53,45
0,0,0,0,0,0,641,641,10,10,86,86
16,150,3,19,2,3,363,404,8,7,50,64
65,452,6,41,2,5,474,616,8,5,51,71
132,466,16,50,4,5,124,271,6,5,17,45
182,304,18,29,3,4,662,647,7,6,72,71
0,96,0,12,0,2,724,1055,10,8,76,105
0,5,0,1,0,1,1067,1206,10,9,172,195
0,0,0,0,0,0,1470,1470,10,10,207,207
0,56,0,10,0,2,668,1095,10,8,95,158
22,130,4,25,2,3,750,700,8,7,109,104
0,0,0,0,0,0,1057,1057,10,10,193,193
69,382,6,34,3,2,1205,1511,7,8,121,149
0,132,0,11,0,2,1318,1254,10,8,151,142
0,141,0,14,0,3,663,488,10,7,77,82
16,70,4,7,1,2,496,453,9,8,65,65
37,449,3,44,2,5,416,528,8,5,66,86
78,409,17,69,4,7,256,130,6,3,37,18
56,63,7,8,1,2,428,224,9,8,59,32
29,250,5,36,2,4,418,446,8,6,81,78
501,939,73,133,7,7,192,58,3,3,30,9
159,677,25,98,6,8,80,142,4,2,12,24
352,657,61,89,7,7,137,121,3,3,17,19
119,295,23,54,5,5,408,490,5,5,68,64
308,308,47,47,7,7,171,171,3,3,23,23
1701,2334,142,203,8,9,151,182,2,1,21,26
240,609,36,63,4,7,388,429,6,3,32,47
20,396,5,68,1,5,498,804,9,5,77,124
4,165,1,29,1,5,1103,306,9,5,146,46
8,373,1,54,1,4,342,716,9,6,51,100
80,353,10,55,1,4,409,348,9,6,65,59
219,469,34,74,4,4,256,356,6,6,40,62
451,1261,56,147,7,5,243,460,3,5,24,48
15,370,3,51,1,5,639,481,9,5,104,85
116,1027,11,96,3,6,620,424,7,4,76,59
6,335,1,39,1,2,660,914,9,8,76,99
0,135,0,15,0,2,1833,1442,10,8,226,177
54,60,9,10,2,2,329,342,8,8,62,66
35,158,6,22,2,3,547,281,8,7,87,54
24,208,3,28,1,3,310,369,9,7,61,67
62,523,8,68,2,6,490,159,8,4,67,28
0,219,0,35,0,3,752,351,10,7,107,58
0,91,0,7,0,1,652,561,10,9,108,92
76,780,13,84,3,7,361,199,7,3,55,35
56,1287,8,137,2,7,547,210,8,3,76,35
72,88,12,14,2,3,536,531,8,7,57,57
0,0,0,0,0,0,1291,1291,10,10,128,128
15,136,2,18,2,2,469,555,8,8,92,95
42,122,6,17,1,3,1103,1154,9,7,154,162
0,168,0,25,0,4,524,437,10,6,88,79
0,0,0,0,0,0,1417,1417,10,10,244,244
0,64,0,8,0,1,1224,1200,10,9,184,179
30,264,3,22,1,1,786,1215,9,9,88,131
10,211,2,23,1,2,896,1376,9,8,111,153
133,325,13,26,2,3,727,426,8,7,99,66
27,99,3,11,2,2,991,1089,8,8,122,129
52,143,4,17,1,2,1632,749,9,8,174,99
46,252,6,38,2,4,445,511,8,6,67,71
106,240,16,40,4,4,267,317,6,6,41,47
92,184,17,31,4,4,271,305,6,6,51,65
130,286,18,35,2,5,413,479,8,5,64,71
152,370,26,65,3,7,337,206,7,3,51,30
146,265,20,27,4,6,527,263,6,4,64,35
115,149,12,20,4,4,257,424,6,6,45,56
465,892,43,81,4,7,395,181,6,3,57,31
99,123,11,14,1,2,591,625,9,8,85,93
191,360,29,39,7,6,68,163,3,4,11,28
69,123,8,14,2,2,770,864,8,8,134,150
4,66,1,12,1,2,495,1071,9,8,73,167
0,232,0,28,0,2,826,811,10,8,114,103
108,658,13,79,2,3,681,755,8,7,117,132
48,136,8,19,1,2,945,886,9,8,141,133
501,1886,46,175,6,7,576,83,4,3,57,8
145,503,19,54,3,4,989,645,7,6,103,73
0,35,0,3,0,2,1468,1410,10,8,156,147
84,283,11,34,2,3,725,1081,8,7,92,121
0,110,0,11,0,1,1601,1343,10,9,187,160
121,313,17,42,5,6,376,396,7,6,45,49
63,206,9,30,3,4,725,525,9,8,133,100
29,150,4,21,2,4,406,482,10,8,54,66
0,156,0,24,0,3,611,700,12,9,83,99
36,200,5,28,3,4,246,236,9,8,43,38
100,747,9,66,3,6,472,596,9,6,57,72
180,814,28,100,4,8,633,265,8,4,77,35
890,1371,83,130,6,7,378,320,6,5,42,31
0,181,0,15,0,2,1149,1172,12,10,126,125
22,348,3,37,2,4,628,851,10,8,77,106
0,57,0,9,0,3,706,989,12,9,104,142
0,81,0,16,0,3,960,891,12,9,152,145
0,96,0,16,0,1,1374,1506,12,11,230,252
0,213,0,34,0,3,799,915,12,9,129,154
4,165,1,33,1,5,730,863,11,7,128,131
30,276,6,33,2,5,770,506,10,7,92,69
54,382,7,46,3,5,391,744,9,7,69,111
12,102,2,14,1,3,1677,1579,11,9,187,173
0,284,0,25,0,3,1406,1321,12,9,143,136
78,573,6,56,2,4,1047,1304,10,8,135,156
325,965,58,144,7,9,165,147,5,3,29,25
115,801,14,131,4,9,263,188,8,3,44,44
120,216,23,37,4,5,373,422,8,7,65,73
365,536,66,85,6,7,449,247,6,5,60,39
443,1473,73,195,8,9,150,157,4,3,32,34
487,905,79,140,7,9,276,262,5,3,33,32
313,1620,32,158,4,8,705,333,8,4,86,55
459,1315,53,121,4,6,561,591,8,6,59,59
446,1301,55,132,4,8,471,352,8,4,43,37
570,1535,76,171,5,9,517,81,7,3,53,9
34,442,5,62,2,5,746,606,10,7,123,118
100,433,16,61,4,5,795,873,8,7,108,123
16,111,4,25,1,4,1061,581,11,8,136,79
0,144,0,24,0,2,1006,844,12,10,184,156
78,316,10,53,3,3,601,570,9,9,109,98
93,909,10,90,3,4,1091,974,9,8,131,129
616,889,59,82,4,5,1066,1174,8,7,164,171
0,434,0,62,0,4,1415,1219,12,8,170,138
21,277,2,30,2,3,1232,1189,10,9,141,130
